,index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
10,10,A Whisper of Evidence in Global Software Engineering,D. Èmite; C. Wohlin,NA; NA,IEEE Software,23 Jun 2011,2011,28,4,15,18,"A systematic review of global software engineering (GSE) literature from 2000 to 2007 shows the field to be immature. Studies report many challenges but little evidence regarding specific GSE practices directly related to project success or failure. There is evidence that distance matters and, furthermore, that GSE--although driven by cost-reduction goals--seldom brings immediate cost savings.",1937-4194,,10.1109/MS.2011.70,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5929523,software engineering;systematic literature review,Software engineering;Globalization;Cost benefit analysis;Research initiatives,cost reduction;software engineering,global software engineering;GSE practices;cost-reduction goals;cost savings,,23.0,,10.0,,23 Jun 2011,,,IEEE,IEEE Magazines
11,11,Maturing Software Engineering Knowledge through Classifications: A Case Study on Unit Testing Techniques,S. Vegas; N. Juristo; V. R. Basili,"Universidad Politecnica de Madrid, Madrid; Universidad Politecnica de Madrid, Madrid; University of Maryland, College Park and Fraunhofer Center for Experimental Software Engineering, Maryland",IEEE Transactions on Software Engineering,31 Jul 2009,2009,35,4,551,565,"Classification makes a significant contribution to advancing knowledge in both science and engineering. It is a way of investigating the relationships between the objects to be classified and identifies gaps in knowledge. Classification in engineering also has a practical application; it supports object selection. They can help mature software engineering knowledge, as classifications constitute an organized structure of knowledge items. Till date, there have been few attempts at classifying in software engineering. In this research, we examine how useful classifications in software engineering are for advancing knowledge by trying to classify testing techniques. The paper presents a preliminary classification of a set of unit testing techniques. To obtain this classification, we enacted a generic process for developing useful software engineering classifications. The proposed classification has been proven useful for maturing knowledge about testing techniques, and therefore, SE, as it helps to: 1) provide a systematic description of the techniques, 2) understand testing techniques by studying the relationships among techniques (measured in terms of differences and similarities), 3) identify potentially useful techniques that do not yet exist by analyzing gaps in the classification, and 4) support practitioners in testing technique selection by matching technique characteristics to project characteristics.",1939-3520,,10.1109/TSE.2009.13,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4775907,Classification;software engineering;software testing;test design techniques;testing techniques;unit testing techniques.,Software engineering;Software testing;Diseases;Knowledge engineering;System testing;Chemical elements;Application software;Software design;Chemistry;Civil engineering,program testing;software engineering,software engineering knowledge;unit testing techniques;engineering classification;matching technique characteristic;project characteristic;software testing,,29.0,,31.0,,6 Feb 2009,,,IEEE,IEEE Journals
12,12,Toward Evidence-Based Software Engineering: Lessons Learned in Healthcare Application Development,A. Nowak; H. J. Schünemann,Evidence Prime; McMaster University,IEEE Software,22 Sep 2017,2017,34,5,67,71,"The authors look back at their journey of implementing, rolling out, and evolving a collaboration tool to support evidence-based healthcare and reflect on how software engineers could benefit from similar methods.",1937-4194,,10.1109/MS.2017.3571572,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8048641,architectural decisions;evidence;guidelines;healthcare;web application development;GRADEpro Guideline Development Tool;GRADEpro GDT;software development;software engineering,Medical services;Software engineering;Decision making;Guidelines;Stakeholders;Collaboration,health care;software engineering,software engineering;healthcare application development,,,,15.0,,22 Sep 2017,,,IEEE,IEEE Magazines
13,13,Investigating Country Differences in Mobile App User Behavior and Challenges for Software Engineering,S. L. Lim; P. J. Bentley; N. Kanakam; F. Ishikawa; S. Honiden,"Department of Computer Science, University College, London; Department of Computer Science, University College London; Department of Clinical, Education and Health Psychology, University College, London; Digital Content and Media Sciences Research Division, National Institute of Informatics, Japan; National Institute of Informatics, Japan",IEEE Transactions on Software Engineering,7 Jan 2015,2015,41,1,40,64,"Mobile applications (apps) are software developed for use on mobile devices and made available through app stores. App stores are highly competitive markets where developers need to cater to a large number of users spanning multiple countries. This work hypothesizes that there exist country differences in mobile app user behavior and conducts one of the largest surveys to date of app users across the world, in order to identify the precise nature of those differences. The survey investigated user adoption of the app store concept, app needs, and rationale for selecting or abandoning an app. We collected data from more than 15 countries, including USA, China, Japan, Germany, France, Brazil, United Kingdom, Italy, Russia, India, Canada, Spain, Australia, Mexico, and South Korea. Analysis of data provided by 4,824 participants showed significant differences in app user behaviors across countries, for example users from USA are more likely to download medical apps, users from the United Kingdom and Canada are more likely to be influenced by price, users from Japan and Australia are less likely to rate apps. Analysis of the results revealed new challenges to market-driven software engineering related to packaging requirements, feature space, quality expectations, app store dependency, price sensitivity, and ecosystem effect.",1939-3520,,10.1109/TSE.2014.2360674,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6913003,Requirements/specifications;market-driven software engineering;mobile application development;user requirements;survey research;app user behavior;software product lines;software ecosystems;Requirements/specifications;market-driven software engineering;mobile application development;user requirements;survey research;app user behavior;software product lines;software ecosystems,Mobile communication;Software;Smart phones;Software engineering;Data mining;Educational institutions,consumer behaviour;mobile computing;smart phones;software engineering,market-driven software engineering;medical applications;data analysis;South Korea;South;Mexico;Australia;Spain;Canada;India;Russia;Italy;United Kingdom;Brazil;France;Germany;Japan;China;USA;applications stores;mobile devices;user behavior;mobile application,,79.0,,65.0,,29 Sep 2014,,,IEEE,IEEE Journals
14,14,Master's Degrees in Software Engineering: An Analysis of 28 University Programs,A. Pyster; R. Turner; D. Henry; K. Lasfer; L. Bernstein,Stevens Institute of Technology; Stevens Institute of Technology; Stevens Institute of Technology; Stevens Institute of Technology; Stevens Institute of Technology,IEEE Software,25 Aug 2009,2009,26,5,94,101,"The software engineering institute published the last reference curriculum for a master's in software engineering in 1991. In 2007, a coalition from academia, industry, and government began creating a new reference curriculum. An early step was to establish a baseline of graduate education by surveying 28 master's programs in software engineering. The survey was largely limited to US schools. Key findings showed that the universities viewed software engineering largely as a specialization of computer science, that faculty size is generally small with few dedicated professors, and that new master's programs continue to start despite the decrease in computer science majors over the past few years. We used the IEEE Computer Society's Software Engineering Body of Knowledge (SWEBOK) to structure our analysis of the 28 curricula, focusing primarily on courses and topics required or semirequired of all students. (A course is semirequired if there is at least a 50 percent chance a student must take it.) Major findings show wide variation in the depth and breadth of SWEBOK coverage in required and semirequired courses, less than 40 percent of all programs requiring an introductory course on software engineering, and many universities having required and semirequired courses that are peripheral to SWEBOK.",1937-4194,,10.1109/MS.2009.133,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5222804,software engineering;curriculum;Software Engineering Body of Knowledge;SWEBOK;computer science education,Software engineering;Taxonomy;Computer science;Aerospace engineering;Automotive engineering;Systems engineering and theory;Educational institutions;Educational programs;Radio access networks;Collaboration,computer science education;educational courses;software engineering,master degree;software engineering;university program;graduate education;computer science specialization;educational course,,11.0,,8.0,,25 Aug 2009,,,IEEE,IEEE Magazines
15,15,Cost Savings in Global Software Engineering: Where's the Evidence?,D. Smite; F. Calefato; C. Wohlin,Blekinge Institute of Technology; University of Bari; Blekinge Institute of Technology,IEEE Software,30 Jun 2015,2015,32,4,26,32,Researchers examined published studies of global software engineering to determine whether offshoring actually yielded cost savings. Not enough evidence existed to reach the verdict that offshoring reduced costs.,1937-4194,,10.1109/MS.2015.102,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140692,global software engineering;software engineering;offshoring;outsourcing;evidence profile,Software engineering;Outsourcing;Globalization;Economics;Employment,outsourcing;software cost estimation,global software engineering;software offshoring;cost saving;cost reduction,,9.0,,19.0,,30 Jun 2015,,,IEEE,IEEE Magazines
16,16,Group Awareness in Global Software Engineering,F. Lanubile; F. Calefato; C. Ebert,University of Bari; University of Bari; Vector Consulting Services,IEEE Software,25 Feb 2013,2013,30,2,18,23,"Insufficient team collaboration often challenges global software engineering projects. Group awareness can improve teams' trust, relationships, and efficiency. This article surveys the key technologies and tools that support group awareness and collaboration. The insights on technologies derive from discussions and presentations at related conferences, including the IEEE-sponsored International Conference on Global Software Engineering (ICGSE).",1937-4194,,10.1109/MS.2013.30,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6470588,global software;group awareness;software engineering;collaboration;teams,Software engineering;Globalization;Visualization;Licenses;Collaboration;Ports (Computers);Software development,project management;software management;team working,group awareness;global software engineering projects;insufficient team collaboration;group collaboration;IEEE-sponsored International Conference on Global Software Engineering;ICGSE,,14.0,,5.0,,25 Feb 2013,,,IEEE,IEEE Magazines
17,17,To Game or Not to Game?,C. G. von Wangenheim; F. Shull,"Universidade do Vale do Itajaí; Fraunhofer Center for Experimental Software Engineering, Maryland",IEEE Software,24 Feb 2009,2009,26,2,92,94,"One challenge in software engineering education is to give students sufficient hands-on experience in actually building software. This is necessary so that students can understand which practices and techniques are useful in various situations. Some researchers have advocated alternative teaching methods to help in this regard. If successful, such methods could give students some experience with different approaches' effects in a shorter, more constrained time period. We examine one such approach, game-based learning, here.",1937-4194,,10.1109/MS.2009.54,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4786960,Software engineering education;game-based learning;software management;software simulation,Project management;Computational modeling;Computer simulation;Engineering education;Software engineering;Computer science education;Software libraries;Databases;Search methods;World Wide Web,computer aided instruction;computer games;software engineering;teaching,software engineering education;hands-on experience;alternative teaching methods;game-based learning,,52.0,,7.0,,24 Feb 2009,,,IEEE,IEEE Magazines
18,18,The Role of Ethnographic Studies in Empirical Software Engineering,H. Sharp; Y. Dittrich; C. R. B. de Souza,"Open University, Walton Hall, Milton Keynes, UK; Software and Systems Section, IT University of Copenhagen, Rued Langgaards Vej 7, Copenhagen S, Denmark; Vale Institute of Technology and the Federal University of Pará, Tv. Boaventura da Silva, 955, Belém, PA, Brazil",IEEE Transactions on Software Engineering,11 Aug 2016,2016,42,8,786,804,"Ethnography is a qualitative research method used to study people and cultures. It is largely adopted in disciplines outside software engineering, including different areas of computer science. Ethnography can provide an in-depth understanding of the socio-technological realities surrounding everyday software development practice, i.e., it can help to uncover not only what practitioners do, but also why they do it. Despite its potential, ethnography has not been widely adopted by empirical software engineering researchers, and receives little attention in the related literature. The main goal of this paper is to explain how empirical software engineering researchers would benefit from adopting ethnography. This is achieved by explicating four roles that ethnography can play in furthering the goals of empirical software engineering: to strengthen investigations into the social and human aspects of software engineering; to inform the design of software engineering tools; to improve method and process development; and to inform research programmes. This article introduces ethnography, explains its origin, context, strengths and weaknesses, and presents a set of dimensions that position ethnography as a useful and usable approach to empirical software engineering research. Throughout the paper, relevant examples of ethnographic studies of software practice are used to illustrate the points being made.",1939-3520,,10.1109/TSE.2016.2519887,CNPq; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7387744,Design tools and techniques;human factors in software design;software engineering process;computer-supported collaborative work,Software engineering;Software;Context;Sociology;Electronic mail;Computer science;Guidelines,cultural aspects;human factors;software process improvement,sociotechnological realities;software development practice;ethnography;empirical software engineering;human aspects;social aspects;software process development;software engineering tools,,30.0,,135.0,,20 Jan 2016,,,IEEE,IEEE Journals
19,19,Is the New Software Engineering Curriculum Agile?,A. Fox; D. Patterson,"University of California, Berkeley; University of California, Berkeley",IEEE Software,3 Sep 2013,2013,30,5,88,88,"As the last standardization effort was done in 2004, the software engineering curriculum is currently being revised. Haven't we reached the point where agile development should be part of all software engineering curricula? And if so, shouldn't new curriculum standards ensure that it is? Thus, the answer to the question in the title of this article can be affirmative even if the computer science standards committee is absent-minded. Instructors can follow the initial call of the standard for projects by student teams while using an agile process, which is the most natural match. As long as you review both plan-and-document and agile processes in lecture, students can become familiar with both sets of terms and concepts. The more demanding outcomes can be met by the project as well, provided you look to the deeper meaning behind the plan-and-document terms to see where agile can fit.",1937-4194,,10.1109/MS.2013.109,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6588520,agile;curriculum;ACM-IEEE Computer Society;software engineering,Computer science education;Software engineering;Education courses;Software systems,computer science education;educational courses;software prototyping,software engineering curriculum;standardization;agile development;curriculum standards;computer science standards committee;student teams;agile process;plan-and-document process,,1.0,,11.0,,3 Sep 2013,,,IEEE,IEEE Magazines
20,20,Practices and Technologies in Computer Game Software Engineering,W. Scacchi,"University of California, Irvine",IEEE Software,16 Jan 2017,2017,34,1,110,116,"Computer games are rich, complex, and often large-scale software applications. They're a significant, interesting, and often compelling domain for innovative research in software engineering techniques and technologies. Computer games are progressively changing the everyday world in many positive ways. Game developers, whether focusing on entertainment market opportunities or game-based applications in nonentertainment domains such as education, healthcare, defense, or scientific research (that is, serious games), thus share a common interest in how best to engineer game software. This article examines techniques and technologies that inform contemporary computer game software engineering.",1937-4194,,10.1109/MS.2017.20,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7819395,computer games;software engineering;software development;software engineering education;game development;game platforms;game engines;software architecture;gameplay;playtesting;software reuse;requirements engineering;runtime services;scalability,Games;Software development;Software engineering;Engines;Computer architecture;Runtime;Requirements engineering,computer games;software engineering,large-scale software applications;entertainment market opportunities;game-based applications;nonentertainment domains;computer game SE;serious games;computer game software engineering,,5.0,,7.0,,16 Jan 2017,,,IEEE,IEEE Magazines
21,21,Crossover Designs in Software Engineering Experiments: Benefits and Perils,S. Vegas; C. Apa; N. Juristo,"Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid, Boadilla del Monte, Madrid, Spain; Instituto de Computación, Facultad de Ingeniería, Montevideo, Uruguay; Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid, Boadilla del Monte, Madrid, Spain",IEEE Transactions on Software Engineering,11 Feb 2016,2016,42,2,120,135,"In experiments with crossover design subjects apply more than one treatment. Crossover designs are widespread in software engineering experimentation: they require fewer subjects and control the variability among subjects. However, some researchers disapprove of crossover designs. The main criticisms are: the carryover threat and its troublesome analysis. Carryover is the persistence of the effect of one treatment when another treatment is applied later. It may invalidate the results of an experiment. Additionally, crossover designs are often not properly designed and/or analysed, limiting the validity of the results. In this paper, we aim to make SE researchers aware of the perils of crossover experiments and provide risk avoidance good practices. We study how another discipline (medicine) runs crossover experiments. We review the SE literature and discuss which good practices tend not to be adhered to, giving advice on how they should be applied in SE experiments. We illustrate the concepts discussed analysing a crossover experiment that we have run. We conclude that crossover experiments can yield valid results, provided they are properly designed and analysed, and that, if correctly addressed, carryover is no worse than other validity threats.",1939-3520,,10.1109/TSE.2015.2467378,Spanish Ministry of Economy and Competitiveness research; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7192651,Data analysis;crossover designs;carryover;Experimental software engineering;controlled experiment;data analysis;crossover design;carryover,Software engineering;Animals;Atmospheric measurements;Particle measurements;Psychology;US Government agencies;Information processing,software engineering,crossover design;software engineering experiments;SE research;crossover experiment,,29.0,,38.0,,12 Aug 2015,,,IEEE,IEEE Journals
22,22,Preparing Tomorrow's Software Engineers for Work in a Global Environment,S. Beecham; T. Clear; J. Barr; M. Daniels; M. Oudshoorn; J. Noll,Lero; Auckland University of Technology; Ithaca College; Uppsala University; Northwest Missouri State University; University of East London,IEEE Software,16 Jan 2017,2017,34,1,9,12,Global software engineering (GSE) is becoming common. It's thus important to educate university software engineering students in GSE. The authors discuss challenges to and recommendations for implementing such instruction.,1937-4194,,10.1109/MS.2017.16,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7819397,global software engineering;GSE;distributed projects;global distance;Valentine's taxonomy;software engineering;software development,Education courses;Software engineering;Teamwork;Cultural differences;Computer science education;Professional development;Globalization,computer science education;educational institutions;software engineering,global software engineering;university software engineering students;GSE,,17.0,,5.0,,16 Jan 2017,,,IEEE,IEEE Magazines
23,23,GALE: Geometric Active Learning for Search-Based Software Engineering,J. Krall; T. Menzies; M. Davies,"LoadIQ, NV; Computer ScienceNorth Carolina State University; Intelligent Systems Division, NASA Ames Research Center, CA",IEEE Transactions on Software Engineering,13 Oct 2015,2015,41,10,1001,1018,"Multi-objective evolutionary algorithms (MOEAs) help software engineers find novel solutions to complex problems. When automatic tools explore too many options, they are slow to use and hard to comprehend. GALE is a near-linear time MOEA that builds a piecewise approximation to the surface of best solutions along the Pareto frontier. For each piece, GALE mutates solutions towards the better end. In numerous case studies, GALE finds comparable solutions to standard methods (NSGA-II, SPEA2) using far fewer evaluations (e.g. 20 evaluations, not 1,000). GALE is recommended when a model is expensive to evaluate, or when some audience needs to browse and understand how an MOEA has made its conclusions.",1939-3520,,10.1109/TSE.2015.2432024,US National Science Foundation (NSF); Qatar/West Virginia University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7105950,Multi-objective optimization;search based software engineering;active learning;Multi-objective optimization;search based software engineering;active learning,Optimization;Software;Computational modeling;Approximation methods;Standards;Biological system modeling;Sociology,approximation theory;computational complexity;evolutionary computation;learning (artificial intelligence);Pareto optimisation;software engineering,GALE;geometric active learning;search-based software engineering;multiobjective evolutionary algorithm;near-linear time MOEA;piecewise approximation;Pareto frontier,,23.0,,64.0,,12 May 2015,,,IEEE,IEEE Journals
24,24,Supporting Reflective Practice in Software Engineering Education through a Studio-Based Approach,C. N. Bull; J. Whittle,Lancaster University; Lancaster University,IEEE Software,13 Jun 2014,2014,31,4,44,50,"Learning is a lifelong process, especially in the fast-paced software industry. In addition to formal training courses, good software developers continually learn by reflecting on what they've done in the past. However, reflective practice is rarely taught explicitly in university software engineering education. One way to teach reflective techniques from the start is through studio-based learning.",1937-4194,,10.1109/MS.2014.52,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6774769,software studio;studio;atelier;software engineering education;collaboration;collocation;reflective practice;software engineering;pervasive computing;project management,Learning;Software engineering;Computer science education;Reflection;Computer architecture,computer science education;DP industry;educational courses;educational institutions;further education;software engineering,university software engineering education;studio-based learning;software industry;reflective practice,,20.0,,10.0,,18 Mar 2014,,,IEEE,IEEE Magazines
25,25,Model-Based Software Engineering to Tame the IoT Jungle,B. Morin; N. Harrand; F. Fleurey,SINTEF Information and Communication Technology; SINTEF Information and Communication Technology; SINTEF Information and Communication Technology,IEEE Software,16 Jan 2017,2017,34,1,30,36,"The Internet of Things (IoT) is a challenging combination of distribution and heterogeneity. A number of software engineering solutions address those challenges in isolation, but few solutions tackle them in combination, which poses a set of concrete challenges. The ThingML (Internet of Things Modeling Language) approach attempts to address those challenges. This model-driven, generative approach, which was inspired by UML, integrates concepts targeted at the IoT. Over the past six years, it has been continuously evolved and applied to cases in different domains, including a commercial e-health solution.",1937-4194,,10.1109/MS.2017.11,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7819419,model-driven software engineering;Internet of Things;IoT;e-health;eHealth;ThingML;Tellu;software engineering;software development,Internet of things;Software engineering;Modeling;Computer languages,Internet of Things;software engineering;Unified Modeling Language,model-based software engineering;IoT;ThingML;UML;model-driven generative approach;e-health solution;Internet of Things Modeling Language,,28.0,,11.0,,16 Jan 2017,,,IEEE,IEEE Magazines
