"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Master's Degrees in Software Engineering: An Analysis of 28 University Programs","A. Pyster; R. Turner; D. Henry; K. Lasfer; L. Bernstein",Stevens Institute of Technology; Stevens Institute of Technology; Stevens Institute of Technology; Stevens Institute of Technology; Stevens Institute of Technology,"IEEE Software","25 Aug 2009","2009","26","5","94","101","The software engineering institute published the last reference curriculum for a master's in software engineering in 1991. In 2007, a coalition from academia, industry, and government began creating a new reference curriculum. An early step was to establish a baseline of graduate education by surveying 28 master's programs in software engineering. The survey was largely limited to US schools. Key findings showed that the universities viewed software engineering largely as a specialization of computer science, that faculty size is generally small with few dedicated professors, and that new master's programs continue to start despite the decrease in computer science majors over the past few years. We used the IEEE Computer Society's Software Engineering Body of Knowledge (SWEBOK) to structure our analysis of the 28 curricula, focusing primarily on courses and topics required or semirequired of all students. (A course is semirequired if there is at least a 50 percent chance a student must take it.) Major findings show wide variation in the depth and breadth of SWEBOK coverage in required and semirequired courses, less than 40 percent of all programs requiring an introductory course on software engineering, and many universities having required and semirequired courses that are peripheral to SWEBOK.","1937-4194","","10.1109/MS.2009.133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5222804","software engineering;curriculum;Software Engineering Body of Knowledge;SWEBOK;computer science education","Software engineering;Taxonomy;Computer science;Aerospace engineering;Automotive engineering;Systems engineering and theory;Educational institutions;Educational programs;Radio access networks;Collaboration","computer science education;educational courses;software engineering","master degree;software engineering;university program;graduate education;computer science specialization;educational course","","11","","8","","25 Aug 2009","","","IEEE","IEEE Magazines"
"To Game or Not to Game?","C. G. von Wangenheim; F. Shull","Universidade do Vale do Itajaí; Fraunhofer Center for Experimental Software Engineering, Maryland","IEEE Software","24 Feb 2009","2009","26","2","92","94","One challenge in software engineering education is to give students sufficient hands-on experience in actually building software. This is necessary so that students can understand which practices and techniques are useful in various situations. Some researchers have advocated alternative teaching methods to help in this regard. If successful, such methods could give students some experience with different approaches' effects in a shorter, more constrained time period. We examine one such approach, game-based learning, here.","1937-4194","","10.1109/MS.2009.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4786960","Software engineering education;game-based learning;software management;software simulation","Project management;Computational modeling;Computer simulation;Engineering education;Software engineering;Computer science education;Software libraries;Databases;Search methods;World Wide Web","computer aided instruction;computer games;software engineering;teaching","software engineering education;hands-on experience;alternative teaching methods;game-based learning","","52","","7","","24 Feb 2009","","","IEEE","IEEE Magazines"
"Technologies to Support Collaboration across Time Zones","R. Prikladnicki; S. Marczak; E. Carmel; C. Ebert",Pontifícia Universidade do Rio Grande do Sul; Pontifícia Universidade Católica do Rio Grande do Sul; American University; Vector Consulting Services,"IEEE Software","20 Apr 2012","2012","29","3","10","13","Time zone differences are a challenge to global software engineering. This column surveys the key technologies and tools that support collaboration across time zones. The insights on technologies derive from a meta- analysis of the 2010 and 2011 IEEE International Conference on Global Software Engineering (ICGSE), among others.","1937-4194","","10.1109/MS.2012.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6188595","software;technology;global;time zones;distributed software development;global software engineering;international conference on global software engineering;icgse","Collaboration;Synchronization;Software;Software engineering;Programming;Conferences;Educational institutions","software engineering","time zone differences;software engineering;meta analysis","","7","","4","","20 Apr 2012","","","IEEE","IEEE Magazines"
"Software Components beyond Programming: From Routines to Services","I. Crnkovic; J. Stafford; C. Szyperski",Mälardalen University; Tufts University; Microsoft,"IEEE Software","25 Apr 2011","2011","28","3","22","26","Software engineering (SE) conference in 1968, Doug Mc Ilroy introduced the concept of software components during his keynote speech, ""Mass-Produced Software Components."" That components hold such an esteemed place in SE history should come as no surprise: componentization is a fundamental engineering principle. Top-down approaches decompose large systems into smaller parts-components and bottom-up approaches compose smaller parts components into larger systems. Since 1968, components have played a role in both SE research and practice. For example, components have been an immanent part of software architecture from its early days.2 In 1998, the In ternational Conference on Software Engineering introduced component based software engineering (CBSE) as a specific area within SE at the first workshop on CBSE.","1937-4194","","10.1109/MS.2011.62","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5756294","software component;component-based software;engineering","Software architecture;Object oriented modeling;Unified modeling language;Software engineering","object-oriented programming;software engineering","software engineering;mass produced software components;SE;top-down approaches;bottom-up approaches;software architecture;component based software engineering;CBSE","","35","","2","","25 Apr 2011","","","IEEE","IEEE Magazines"
"Research on Quality Control and Quality Characteristic with Knowledge Management System","H. Xu","Sch. of Manage., Henan Univ. of Technol., Zhengzhou, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","With the theories and methods of project management, and knowledge systems engineering, the development process of knowledge management system (KMS) was analyzed to guide the implementation of knowledge management project. And it was a foundation to establish the quality control system of knowledge management system based on benchmark Based on the quality characteristics with software engineering software, according to the national standards (GB/T16260-1996), the quality characteristic index with knowledge management system was established. At last, this paper extended the documentation specification for software development with knowledge requirements specification and ontology model specification. The practice has shown this process and quality characteristic index could provide a clear theoretical basis and method for the research and development of knowledge management system.","","978-1-4244-4507-3","10.1109/CISE.2009.5363307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363307","","Quality control;Knowledge management;Project management;Knowledge based systems;Knowledge engineering;Systems engineering and theory;Software engineering;Software quality;Software standards;Documentation","knowledge management;ontologies (artificial intelligence);project management;quality assurance;quality control;software development management;software engineering","knowledge management system;project management;knowledge systems engineering;knowledge management project;quality control system;software engineering software;GB/T16260-1996 national standard;quality characteristic index;documentation specification;knowledge requirements specification;ontology model specification","","1","","9","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Evolving Enterprise Application Using Refined Use Case and Refactoring Mapping","J. Duan","Inf. Sci. & Technol. Dept., Beijing Univ. of Chem. Technol., Beijing, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","How to effectively evolve enterprise application with the frequently changing requirement is a challenge to software engineering. Requirement is a noticeable cause of evolution of enterprise application, and requirement changes cannot be estimated precisely in many cases. Therefore, the main problem is how to capture requirements and changes, and propagate the proper modification to application. The traditional method based on model and code re-generating is not conducive to management and maintenance. Refactoring has given guidance to gradual evolution of object-oriented software. This paper presents a approach using refined use case to capture the requirement to modeling enterprise application, and using the refactoring mappings between requirement and models to effectively maintain model and other parts of the application, which helps to smooth the evolution process of enterprise applications.","","978-1-4244-4507-3","10.1109/CISE.2009.5366899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366899","","Object oriented modeling;Application software;Chemical technology;Software engineering;Logic;Databases;Programming;Software testing;Software maintenance;Information science","object-oriented programming;program compilers;software engineering","evolving enterprise application;refined use case;refactoring mapping;software engineering;code regenerating;object-oriented software","","","","11","","28 Dec 2009","","","IEEE","IEEE Conferences"
"The Ethical Software Engineer","D. Hall",University of Manchester,"IEEE Software","19 Jun 2009","2009","26","4","9","10","Compliance to a professional society's code of ethics carries obligations beyond minimum standards of behavior. Members of software engineering professional societies should also serve the public interest and promote the common good.","1937-4194","","10.1109/MS.2009.106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076450","professional ethics;codes of ethics;codes of good practice;professional licensing;software engineering practice","Ethics;Software engineering;Software standards;Standards development;Programming;ISO;Knowledge engineering;Software development management;IEC standards;Career development","ethical aspects;software engineering","ethics;software engineering professional societies;ethical software engineer","","5","","4","","19 Jun 2009","","","IEEE","IEEE Magazines"
"The “Physics” of Notations: Toward a Scientific Basis for Constructing Visual Notations in Software Engineering","D. Moody","University of Twente , Enschede","IEEE Transactions on Software Engineering","15 Dec 2009","2009","35","6","756","779","Visual notations form an integral part of the language of software engineering (SE). Yet historically, SE researchers and notation designers have ignored or undervalued issues of visual representation. In evaluating and comparing notations, details of visual syntax are rarely discussed. In designing notations, the majority of effort is spent on semantics, with graphical conventions largely an afterthought. Typically, no design rationale, scientific or otherwise, is provided for visual representation choices. While SE has developed mature methods for evaluating and designing semantics, it lacks equivalent methods for visual syntax. This paper defines a set of principles for designing cognitively effective visual notations: ones that are optimized for human communication and problem solving. Together these form a design theory, called the Physics of Notations as it focuses on the physical (perceptual) properties of notations rather than their logical (semantic) properties. The principles were synthesized from theory and empirical evidence from a wide range of fields and rest on an explicit theory of how visual notations communicate. They can be used to evaluate, compare, and improve existing visual notations as well as to construct new ones. The paper identifies serious design flaws in some of the leading SE notations, together with practical suggestions for improving them. It also showcases some examples of visual notation design excellence from SE and other fields.","1939-3520","","10.1109/TSE.2009.67","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5353439","Modeling;analysis;diagrams;communication;visualization;visual syntax;concrete syntax.","Software engineering;Humans;Visualization;Design optimization;Problem-solving;Physics;Concrete;Flowcharts;Unified modeling language;Computer industry","software engineering","visual notations;software engineering;visual representation;physics of notations;design flaws","","596","1","152","","15 Dec 2009","","","IEEE","IEEE Journals"
"How Reliable Are Systematic Reviews in Empirical Software Engineering?","S. MacDonell; M. Shepperd; B. Kitchenham; E. Mendes","Auckland University of Technology, Auckland; Brunel University, West London; Keele University, Keele; The University of Auckland, Auckland","IEEE Transactions on Software Engineering","30 Sep 2010","2010","36","5","676","687","BACKGROUND-The systematic review is becoming a more commonly employed research instrument in empirical software engineering. Before undue reliance is placed on the outcomes of such reviews it would seem useful to consider the robustness of the approach in this particular research context. OBJECTIVE-The aim of this study is to assess the reliability of systematic reviews as a research instrument. In particular, we wish to investigate the consistency of process and the stability of outcomes. METHOD-We compare the results of two independent reviews undertaken with a common research question. RESULTS-The two reviews find similar answers to the research question, although the means of arriving at those answers vary. CONCLUSIONS-In addressing a well-bounded research question, groups of researchers with similar domain experience can arrive at the same review outcomes, even though they may do so in different ways. This provides evidence that, in this context at least, the systematic review is a robust research method.","1939-3520","","10.1109/TSE.2010.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416726","Empirical software engineering;meta-analysis;systematic review;cost estimation.","Software engineering;Instruments;Robustness;Best practices;Stability;Costs;Mathematics;Computer science","software cost estimation;software reviews","systematic review reliability;empirical software engineering;research instrument;software cost estimation","","46","","26","","18 Feb 2010","","","IEEE","IEEE Journals"
"Variability and Reproducibility in Software Engineering: A Study of Four Companies that Developed the Same System","B. C. D. Anda; D. I. K. Sjøberg; A. Mockus","University of Oslo, Oslo; Simula Research Laboratory, Lysaker; Avaya Labs Research, Basking Ridge","IEEE Transactions on Software Engineering","2 Jun 2009","2009","35","3","407","429","The scientific study of a phenomenon requires it to be reproducible. Mature engineering industries are recognized by projects and products that are, to some extent, reproducible. Yet, reproducibility in software engineering (SE) has not been investigated thoroughly, despite the fact that lack of reproducibility has both practical and scientific consequences. We report a longitudinal multiple-case study of variations and reproducibility in software development, from bidding to deployment, on the basis of the same requirement specification. In a call for tender to 81 companies, 35 responded. Four of them developed the system independently. The firm price, planned schedule, and planned development process, had, respectively, ldquolow,rdquo ldquolow,rdquo and ldquomediumrdquo reproducibilities. The contractor's costs, actual lead time, and schedule overrun of the projects had, respectively, ldquomedium,rdquo ldquohigh,rdquo and ldquolowrdquo reproducibilities. The quality dimensions of the delivered products, reliability, usability, and maintainability had, respectively, ldquolow,rdquo ""high,rdquo and ldquolowrdquo reproducibilities. Moreover, variability for predictable reasons is also included in the notion of reproducibility. We found that the observed outcome of the four development projects matched our expectations, which were formulated partially on the basis of SE folklore. Nevertheless, achieving more reproducibility in SE remains a great challenge for SE research, education, and industry.","1939-3520","","10.1109/TSE.2008.89","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4693714","Software engineering life cycle;software quality;software project success;software process;multiple-case study.;General;Life cycle;Software Quality/SQA;Multiple-case study","Reproducibility of results;Software engineering;Programming;Job shop scheduling;Software quality;Computer industry;Costs;Software measurement;Systems engineering and theory;Usability","software quality","software engineering;mature engineering industries;software development;software quality;software process","","44","","94","","2 Dec 2008","","","IEEE","IEEE Journals"
"Software Engineering: An Idea Whose Time Has Come and Gone?","T. DeMarco",Atlantic Systems Guild,"IEEE Software","19 Jun 2009","2009","26","4","96","96","Certain principles long considered fundamental to software engineering are examined and found wanting.","1937-4194","","10.1109/MS.2009.101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076468","software engineering;metrics;control;project management;budget and schedule","Software engineering;Birds;Educational institutions;Documentation;Ethics;Pressure measurement;Feedback;Project management;Financial management;Packaging","","","","8","","","","19 Jun 2009","","","IEEE","IEEE Magazines"
"ASCENT: An Algorithmic Technique for Designing Hardware and Software in Tandem","J. White; B. Doughtery; D. C. Schmidt","Virginia Tech, Blacksburg; Vanderbilt University, Nashville; Vanderbilt University, Nashville","IEEE Transactions on Software Engineering","29 Nov 2010","2010","36","6","838","851","Search-based software engineering is an emerging paradigm that uses automated search algorithms to help designers iteratively find solutions to complicated design problems. For example, when designing a climate monitoring satellite, designers may want to use the minimal amount of computing hardware to reduce weight and cost while supporting the image processing algorithms running onboard. A key problem in these situations is that the hardware and software designs are locked in a tightly coupled cost-constrained producer/consumer relationship that makes it hard to find a good hardware/software design configuration. Search-based software engineering can be used to apply algorithmic techniques to automate the search for hardware/software designs that maximize the image processing accuracy while respecting cost constraints. This paper provides the following contributions to research on search-based software engineering: 1) We show how a cost-constrained producer/consumer problem can be modeled as a set of two multidimensional multiple-choice knapsack problems (MMKPs), 2) we present a polynomial-time search-based software engineering technique, called the Allocation-baSed Configuration Exploration Technique (ASCENT), for finding near optimal hardware/software codesign solutions, and 3) we present empirical results showing that ASCENT's solutions average over 95 percent of the optimal solution's value.","1939-3520","","10.1109/TSE.2010.77","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5539763","Algorithms;computer aided software engineering;optimization methods;distributed computing.","Software algorithms;Software design;Algorithm design and analysis;Hardware;Software engineering;Iterative algorithms;Costs;Image processing;Monitoring;Satellites","hardware-software codesign;knapsack problems;software engineering","ASCENT;hardware-software codesign;automated search algorithm;climate monitoring satellite;computing hardware;image processing algorithm;hardware/software design configuration;cost-constrained producer/consumer problem;multidimensional multiple choice knapsack problem;polynomial time search-based software engineering;allocation-based configuration exploration technique","","8","","34","","5 Aug 2010","","","IEEE","IEEE Journals"
"ERP Customization as Software Engineering: Knowledge Sharing and Cooperation","Y. Dittrich; S. Vaucouleur; S. Giff",IT University of Copenhagen; IT University of Copenhagen; Microsoft Visual Studio,"IEEE Software","16 Oct 2009","2009","26","6","41","47","Enterprise resource planning (ERP) vendors provide multiple configuration possibilities ranging from module selection to master data provision to steer access rights for different users. These configuration possibilities cover anticipated variability. If the customer requires adaptation beyond what's anticipated, the source code of the product must be adapted. Customizations in this article's context are source code based adaptations of software products. The size and complexity of customizations range from simple report generation to developing independent add-ons that support specific businesses, for example, solutions for flight carriers. The size and lead time of such projects can compare to a full-size software development project. Enterprise resource planning (ERP) systems must be configured and customized to fit a specific company. The authors discuss cooperation with regard to ERP systems customization.","1937-4194","","10.1109/MS.2009.173","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5287008","D.2 Software Engineering;D Software/Software Engineering;D.2.14 Human Factors in Software Design;J Computer Applications;J.1 Administrative Data Processing;J.1.a Business","Enterprise resource planning;Software engineering;Permission;Programming;Companies","cooperative systems;enterprise resource planning;software development management","ERP customization;software engineering;knowledge sharing;enterprise resource planning vendor;multiple configuration possibility;module selection;master data provision;product source code;source code based adaptation;software product;customization complexity;independent add-on;report generation;business support;software development project;cooperation","","39","2","14","","16 Oct 2009","","","IEEE","IEEE Magazines"
"Mindbugs in Software Process Improvement","J. Wan; Q. Liu; D. Li","Inst. of Emerging Industrialization Dev., South China Univ. of Tech., Guangzhou, China; Fac. of Bus. Adm., South China Univ. of Tech., Guangzhou, China; Fac. of Bus. Adm., South China Univ. of Tech., Guangzhou, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","The software capability maturity model (SW-CMM) provides software organizations with guidance to how to gain control of their processes for developing and maintaining software and how to evolve toward a culture of software engineering and management excellence. Prof. J.N.Warfield has tried to identify and name each distinctive origin of one or more behaviorally related symptoms. Mindbugs (cognitive barriers) according to SW-CMM are studied. The research finds that the most mindbugs of software process improvement is misattribution of consensus through demonstration study, including questionnaire survey and case study.","","978-1-4244-4507-3","10.1109/CISE.2009.5363112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363112","","Software tools;Software maintenance;Capability maturity model;Environmental management;Quality management;Process design;Project management;Process control;Computer industry;Gain control","software engineering","mindbugs;software process improvement;software capability maturity model;software engineering;cognitive barriers","","","","6","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Recommendation Systems for Software Engineering","M. Robillard; R. Walker; T. Zimmermann","McGill University, Montreal; University of Calgary, Calgary; Microsoft Corportation, Redmond","IEEE Software","14 Jun 2010","2010","27","4","80","86","Software development can be challenging because of the large information spaces that developers must navigate. Without assistance, developers can become bogged down and spend a disproportionate amount of their time seeking information at the expense of other value-producing tasks. Recommendation systems for software engineering (RSSEs) are software tools that can assist developers with a wide range of activities, from reusing code to writing effective bug reports. The authors provide an overview of recommendation systems for software engineering: what they are, what they can do for developers, and what they might do in the future.","1937-4194","","10.1109/MS.2009.161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5235134","software engineering;development tools;programming environments;software construction tools;coding tools and techniques;design tools and techniques","Software engineering;Programming;Navigation;Software tools;Writing","recommender systems;software tools","recommendation system;software engineering;software development;information space;time seeking information;value-producing task;software tool;bug reports","","142","16","17","","11 Sep 2009","","","IEEE","IEEE Magazines"
