Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
57,"SM Easterbrook","Climate change: a grand software challenge",2010,"… of the FSE/SDP workshop on Future of software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1882362.1882383","https://scholar.google.com/scholar?cites=11756815371478517280&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-05-11 13:43:02","","","","",,,,,57,5.18,57,1,11,"… challenge as follows. How can we, as experts in software technology, and as the creators of future software tools and techniques, apply our particular knowledge and experience to the challenge of climate change? How can we …"
70,"A Fox, DA Patterson, R Ilson, S Joseph…","Software engineering curriculum technology transfer: lessons learned from MOOCs and SPOCs",2014,"UC Berkeley EECS …","eecs.berkeley.edu","https://www2.eecs.berkeley.edu/Pubs/TechRpts/2014/EECS-2014-17.pdf","https://scholar.google.com/scholar?cites=15111707649015720824&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-05-11 13:43:02","PDF","","","",,,,,70,10.00,14,5,7,"This paper describes our experience in trying to transfer our revised software engineering curriculum from UC Berkeley to other universities. We were in the first wave of Massive Open Online Course (MOOCs), and this paper lists the lessons learned about educational …"
105,"J Herbert, A Litchfield","A novel method for decentralised peer-to-peer software license validation using cryptocurrency blockchain technology",2015,"Proceedings of the 38th …","openrepository.aut.ac.nz","http://openrepository.aut.ac.nz/handle/10292/10328","https://scholar.google.com/scholar?cites=9821908863648396409&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-05-11 13:43:02","","","","",,,,,105,17.50,53,2,6,"Protecting software copyright has been an issue since the late 1970's, and software license validation has been a primary method employed in an attempt to minimise software piracy and protect software copyright. This paper presents a novel method for decentralised peer-to …"
67,"J Humble, G Kim","Accelerate: The science of lean software and devops: Building and scaling high performing technology organizations",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Kax-DwAAQBAJ&oi=fnd&pg=PT10&dq=software+technology&ots=orxA6whkKO&sig=fjkUiMF6XIx6TOC7cqgOqVdUFQY","https://scholar.google.com/scholar?cites=9049491087343879553&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-05-11 13:43:02","BOOK","","","",,,,,67,22.33,34,2,3,"Winner of the Shingo Publication Award Accelerate your organization to win in the marketplace. How can we apply technology to drive business value? For years, we've been told that the performance of software delivery teams doesn't matter―that it can't provide a …"
51,"C Ebert, J Favaro","Automotive software",2017,"IEEE Annals of the History of Computing","computer.org","https://www.computer.org/csdl/magazine/so/2017/03/mso2017030033/13rRUwInvd6","https://scholar.google.com/scholar?cites=15690670713745271495&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-05-11 13:43:02","","","","",,,,,51,12.75,26,2,4,"… This theme issue shows where automotive software technology is headed and what can be learned across industries. Convergence—Automotive Electronics and IT … A fourth article, on the evolution of automotive IT architectures, appears in the Software Technology department …"
44,"D Samadhiya, SH Wang, D Chen","Quality models: Role and value in software engineering",2010,"… on Software Technology …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5608852/","https://scholar.google.com/scholar?cites=3931772977621671087&as_sdt=2005&sciodt=0,5&hl=en",16,"2021-05-11 13:43:02","","","","",,,,,44,4.00,15,3,11,"Software quality is the totality of features and characteristics of a product or a service that bears on its ability to satisfy the given needs. Poor quality of the software product in sensitive systems may lead to loss of human life, permanent injury, mission failure, or financial loss …"
45,"P Lenberg, R Feldt, LG Wallgren","Towards a behavioral software engineering",2014,"… and human aspects of software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2593702.2593711","https://scholar.google.com/scholar?cites=15186950086908207226&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-05-11 13:43:02","","","","",,,,,45,6.43,15,3,7,"… Robert Feldt Dept. of Software Engineering Blekinge Inst. of Technology Karlskrona, Sweden robert.feldt@bth.se Lars Göran Wallgren Dept … Information and Software Technology, 50(9):860–878, 2008. [7] C. Briggs and P. Little …"
100,"J Iannotti, J Baker, E Rodriguez, J Brems, E Ricchetti…","Three-dimensional preoperative planning software and a novel information transfer technology improve glenoid component positioning",2014,"JBJS","journals.lww.com","https://journals.lww.com/jbjsjournal/fulltext/2014/05070/three_dimensional_preoperative_planning_software.12.aspx","https://scholar.google.com/scholar?cites=14442335819025602056&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-05-11 13:43:02","","","","",,,,,100,14.29,17,6,7,"Background: We hypothesized that a novel surgical method, in which three-dimensional (3-D) preoperative planning software is generated to create a patient-specific surgical model that is used with a reusable and adjustable tool, could substantially improve the positioning …"
85,"D Seider, M Litz, A Schreiber…","Open source software framework for applications in aeronautics and space",2012,"2012 IEEE Aerospace …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6187340/","https://scholar.google.com/scholar?cites=6910831359356146225&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-05-11 13:43:02","","","","",,,,,85,9.44,21,4,9,"Page 1. Open Source Software Framework for Applications in Aeronautics and Space Doreen Seider Distributed Systems and Component Software Simulation and Software Technology German Aerospace Center (DLR) 51147 Cologne, Germany Doreen.Seider@dlr.de …"
64,"TE Humphreys, JA Bhatti, T Pany, BM Ledvina…","Exploiting multicore technology in software-defined GNSS receivers",2009,"Proceedings of the 22nd …","ion.org","https://www.ion.org/publications/abstract.cfm?articleID=8436","https://scholar.google.com/scholar?cites=10951497995604859969&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-05-11 13:43:02","","","","",,,,,64,5.33,13,5,12,"Methods are explored for e±ciently mapping GNSS signal processing techniques to multicore general-purpose proces-sors. The aim of this work is to exploit the emergence of multicore processors to develop more capable software-de¯ ned GNSS receivers. It is …"
55,"Y Yamato","Automatic verification technology of software patches for user virtual environments on IaaS cloud",2015,"Journal of Cloud Computing","journalofcloudcomputing …","https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-015-0028-6","https://scholar.google.com/scholar?cites=3106174356251473910&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-05-11 13:43:02","HTML","","","",,,,,55,9.17,55,1,6,"We propose here a technique for automatic verification of software patches for user virtual environments on Infrastructure as a Service (IaaS) Cloud to reduce the cost of verifying patches. IaaS services have been spreading rapidly, and many users can customize virtual …"
12,"AA Tyugashev, DV Zheleznov…","A technology and software toolset for design and verification of real-time control algorithms",2017,"Russian Electrical …","Springer","https://link.springer.com/article/10.3103/S1068371217030178","https://scholar.google.com/scholar?cites=16427157189057898515&as_sdt=2005&sciodt=0,5&hl=en",22,"2021-05-11 13:43:02","","","","",,,,,12,3.00,4,3,4,"This paper presents a methodology and a specially developed software toolset for design and verification of real-time control algorithms and programs. The real-time control algorithm must timely execute required actions in accordance with the current situation reflected by the …"
114,"Z Sharafi, Z Soh, YG Guéhéneuc","A systematic literature review on the usage of eye-tracking in software engineering",2015,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584915001196","https://scholar.google.com/scholar?cites=18307660718410171738&as_sdt=2005&sciodt=0,5&hl=en",23,"2021-05-11 13:43:02","","","","",,,,,114,19.00,38,3,6,"Context Eye-tracking is a mean to collect evidence regarding some participants' cognitive processes. Eye-trackers monitor participants' visual attention by collecting eye-movement data. These data are useful to get insights into participants' cognitive processes during …"
124,"R Colomo-Palacios, E Tovar-Caro…","Identifying technical competences of IT professionals: The case of software engineers",2010,"… Technology …","igi-global.com","https://www.igi-global.com/article/identifying-technical-competences-professionals/39057","https://scholar.google.com/scholar?cites=493347289133726068&as_sdt=2005&sciodt=0,5&hl=en",24,"2021-05-11 13:43:02","","","","",,,,,124,11.27,41,3,11,"This article aims to identify technical competency levels relevant to Software Engineering in a spectrum of professional profiles which are found in Spain's main Software Development companies. The research work presents a combination of three initiatives. The first step …"
36,"KC Yeh, RS Chen, CC Chen","Intelligent service-integrated platform based on the RFID technology and software agent system",2011,"Expert Systems with Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417410008924","https://scholar.google.com/scholar?cites=6997349207378051479&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-05-11 13:43:02","","","","",,,,,36,3.60,12,3,10,"The mobility of the popular goods on the shelves will have a crucial impact on the store sales. For retailers, the seasonal or news-induced demand for commodity will have the flocking effect or business opportunity lasting for some time; if the product shortage occurs …"
46,"J Zeng, HL Sun, XD Liu, T Deng, J Huai","Dynamic evolution mechanism for trustworthy software based on service composition",2010,"Journal of Software","en.cnki.com.cn","https://en.cnki.com.cn/Article_en/CJFDTotal-RJXB201002012.htm","https://scholar.google.com/scholar?cites=16039282665686951415&as_sdt=2005&sciodt=0,5&hl=en",26,"2021-05-11 13:43:02","","","","",,,,,46,4.18,9,5,11,"… University;2008-01. 2, Li Deshui (Department of Computer Science, Weinan Normal Collge Weinan 714000);Development and LooKing Forward to the Software Technology in the Future[J];Office Automation;2006-13. 3, Wang …"
120,"T Dingsøyr, C Lassenius","Emerging themes in agile software development: Introduction to the special section on continuous value delivery",2016,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584916300829","https://scholar.google.com/scholar?cites=1033228863260409813&as_sdt=2005&sciodt=0,5&hl=en",27,"2021-05-11 13:43:02","HTML","","","",,,,,120,24.00,60,2,5,"The relationship between customers and suppliers remains a challenge in agile software development. Two trends seek to improve this relationship, the increased focus on value and the move towards continuous deployment. In this special section on continuous value …"
125,"C Giardino, SS Bajwa, X Wang…","Key challenges in early-stage software startups",2015,"… on Agile Software …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-18612-2_5","https://scholar.google.com/scholar?cites=14480216436670927133&as_sdt=2005&sciodt=0,5&hl=en",28,"2021-05-11 13:43:02","","","","",,,,,125,20.83,31,4,6,"… study. Infor- mation and Software Technology 56(10), 1200–1218 (2014) 2. Sutton, SM: The role of process in software start-up. IEEE Software 17(4), 33–39 (2000) 3. Blank, S.: The four steps to the epiphany, 1st edn. CafePress …"
129,"D Nafus","'Patches don't have gender': What is not open in open source software",2012,"New Media & Society","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1461444811422887","https://scholar.google.com/scholar?cites=16763489901175603685&as_sdt=2005&sciodt=0,5&hl=en",29,"2021-05-11 13:43:02","","","","",,,,,129,14.33,129,1,9,"… Cite. Citation Tools. How to cite this article. If you have the appropriate software installed, you can download article citation data to the citation manager of your choice. Simply select your manager software from the list below and click on download. How to cite this article …"
80,"L García-Borgoñon, MA Barcelona…","Software process modeling languages: A systematic literature review",2014,"… Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584913001894","https://scholar.google.com/scholar?cites=4139294242418528500&as_sdt=2005&sciodt=0,5&hl=en",30,"2021-05-11 13:43:02","","","","",,,,,80,11.43,27,3,7,"Context Organizations working in software development are aware that processes are very important assets as well as they are very conscious of the need to deploy well-defined processes with the goal of improving software product development and, particularly, quality …"
61,"S Parry, R Jones, J Rowley…","Marketing for survival: a comparative case study of SME software firms",2012,"Journal of Small …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/14626001211277488/full/html","https://scholar.google.com/scholar?cites=12034456726846653667&as_sdt=2005&sciodt=0,5&hl=en",31,"2021-05-11 13:43:02","","","","",,,,,61,6.78,15,4,9,"– This study seeks to explore the success and failure of two similar small software technology firms from a marketing perspective … Abstract. Purpose. – This study seeks to explore the success and failure of two similar small software technology firms from a marketing perspective …"
64,"D Azar, J Vybihal","An ant colony optimization algorithm to improve software quality prediction models: Case of class stability",2011,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584910002144","https://scholar.google.com/scholar?cites=8602356513531930892&as_sdt=2005&sciodt=0,5&hl=en",32,"2021-05-11 13:43:02","","","","",,,,,64,6.40,32,2,10,"Context Assessing software quality at the early stages of the design and development process is very difficult since most of the software quality characteristics are not directly measurable. Nonetheless, they can be derived from other measurable attributes. For this …"
80,"GK Hanssen, T Dybå","Theoretical foundations of software ecosystems.",2012,"IWSECO@ ICSOB","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.416.2906&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=3036692497212571048&as_sdt=2005&sciodt=0,5&hl=en",33,"2021-05-11 13:43:02","PDF","","","",,,,,80,8.89,40,2,9,"… Such communities are often based on a common interest in a central software technology, like a software product line or platform that offers opportunities of value increasing technologies and services by a variety of actors [22] …"
38,"JL Carlo, J Gaskin, K Lyytinen…","Early vs. late adoption of radical information technology innovations across software development organizations: an extension of the disruptive information technology …",2014,"Information Systems …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/isj.12039","https://scholar.google.com/scholar?cites=10761832645648103644&as_sdt=2005&sciodt=0,5&hl=en",34,"2021-05-11 13:43:02","","","","",,,,,38,5.43,10,4,7,"This paper extends the disruptive information technology innovation model (DITIM) by exploring the impact of adoption timing on innovation outcomes within software development organizations during a disruptive innovation cycle. The DITIM suggests that …"
52,"M Wadhwa, N Sharma","Review of agile software development methodologies",2015,"… in Computer Science and Information Technology","","","https://scholar.google.com/scholar?cites=15794468321757499968&as_sdt=2005&sciodt=0,5&hl=en",35,"2021-05-11 13:43:02","CITATION","","","",,,,,52,8.67,26,2,6,""
33,"WE Wong, TH Tse, RL Glass, VR Basili…","An assessment of systems and software engineering scholars and institutions (2003–2007 and 2004–2008)",2011,"… of Systems and Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121210002682","https://scholar.google.com/scholar?cites=16083178875116815811&as_sdt=2005&sciodt=0,5&hl=en",36,"2021-05-11 13:43:02","","","","",,,,,33,3.30,7,5,10,"… Information and Software Technology (IST), Elsevier Science … Acknowledgment. We extend our thanks to Andy Restrepo of the Software Technology Advanced Research (STAR) Lab at the University of Texas at Dallas for his help in preparing this report …"
501,"Y Bassil","A simulation model for the waterfall software development life cycle",2012,"arXiv preprint arXiv:1205.6904","arxiv.org","https://arxiv.org/abs/1205.6904","https://scholar.google.com/scholar?cites=11507618369488543708&as_sdt=2005&sciodt=0,5&hl=en",37,"2021-05-11 13:43:02","","","","",,,,,501,55.67,501,1,9,"… 21, no. 2, pp.133-148, 1991. [17] B. Boehm and KJ Sullivan, “Software Economics: Status and Prospects,” Special Millenium Issue, Information and Software Technology, 2000. [18] Leung, H., and Fan, Z., Software Cost Estimation …"
31,"F Lanubile, F Calefato, C Ebert","Group awareness in global software engineering",2013,"IEEE software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6470588/","https://scholar.google.com/scholar?cites=15616320412364744092&as_sdt=2005&sciodt=0,5&hl=en",38,"2021-05-11 13:43:02","","","","",,,,,31,3.88,10,3,8,"… 0740-7459/13/$31.00 © 2013 IEEE Editor: Christof Ebert Vector Consulting Services christof.ebert@vector.com SOFTWARE TECHNOLOGY Group Awareness in Global Software Engineering … Page 2. MARCH/APRIL 2013 | IEEE SOFTWARE 19 SOFTWARE TECHNOLOGY …"
57,"M Giblin","Managing the global–local dimensions of clusters and the role of “lead” organizations: The contrasting cases of the software and medical technology clusters in the …",2011,"European Planning Studies","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/09654313.2011.530529","https://scholar.google.com/scholar?cites=10846283568559153417&as_sdt=2005&sciodt=0,5&hl=en",39,"2021-05-11 13:43:02","","","","",,,,,57,5.70,57,1,10,"The purpose of this paper is to investigate “leading” firms in an industrial cluster to understand how the balance between global and local dimensions of the cluster can be managed. Two cases of industry clusters, the software and medical technology clusters in …"
1605,"R Kitchin, M Dodge","Code/space: Software and everyday life",2014,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=JLgkEAAAQBAJ&oi=fnd&pg=PR9&dq=software+technology&ots=CffP7z7RP_&sig=z6lx8TRsIiqMNwf0I4S0by1jEkk","https://scholar.google.com/scholar?cites=14919310915200318724&as_sdt=2005&sciodt=0,5&hl=en",40,"2021-05-11 13:43:02","BOOK","","","",,,,,1605,229.29,803,2,7,"… hope that Code/Space has utility for the broad range of scholars working across the social sciences who are examining the work of software in the world, including those working in human geography, science and technology studies, media studies, software studies, cyberculture …"
78,"T Dingsøyr, FO Bjørnson, F Shull","What do we know about knowledge management? Practical implications for software engineering",2009,"IEEE software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4814968/","https://scholar.google.com/scholar?cites=7473577944661545788&as_sdt=2005&sciodt=0,5&hl=en",41,"2021-05-11 13:43:02","","","","",,,,,78,6.50,26,3,12,"… 18, no. 1, 2001, pp. 215–233. 6. FO Bjørnson and T. Dingsøyr, “Knowledge Management in Software Engineering: A Systematic Review of Studied Concepts and Research Methods Used,” Information and Software Technology, vol. 50, no. 11, 2008, pp. 1055–1168 …"
512,"M Andreessen","Why software is eating the world",2011,"Wall Street Journal","osr.informatik.uni-erlangen.de","https://osr.informatik.uni-erlangen.de/wp-content/uploads/2016/08/marc.pdf","https://scholar.google.com/scholar?cites=15240475032483410341&as_sdt=2005&sciodt=0,5&hl=en",42,"2021-05-11 13:43:02","PDF","","","",,,,,512,51.20,512,1,10,"… Six decades into the computer revolution, four decades since the invention of the microprocessor, and two decades into the rise of the modern Internet, all of the technology required to transform industries through software finally works and can be widely delivered at global scale …"
53,"CP Ayala, D Cruzes, Ø Hauge, R Conradi","Five facts on the adoption of open source software",2011,"IEEE software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5720716/","https://scholar.google.com/scholar?cites=10947302415889212968&as_sdt=2005&sciodt=0,5&hl=en",43,"2021-05-11 13:43:02","","","","",,,,,53,5.30,13,4,10,"… 3rd IEEE Workshop Open Source Software Eng. (WOSSE 03), ICSE, 2003, pp. 10–24. 8. I. Stamelos et al., “Code Quality Analysis in Open Source Software Development,” Infor- mation and Software Technology, vol. 12, no. 1, 2002, pp. 43–60 …"
53,"SO McDoniel, P Wolskee, J Shen","Treating obesity with a novel hand-held device, computer software program, and Internet technology in primary care: the SMART motivational trial",2010,"Patient education and counseling","Elsevier","https://www.sciencedirect.com/science/article/pii/S0738399109003346","https://scholar.google.com/scholar?cites=753382059733319522&as_sdt=2005&sciodt=0,5&hl=en",44,"2021-05-11 13:43:02","","","","",,,,,53,4.82,18,3,11,"Objective The purpose of this study was to evaluate the short-term motivational effect of a technology-based weight reduction program for obese adults. Methods One hundred and eleven obese (37.0±5.8 kg/m 2) middle aged (45.5±10.8 years) adults (62% female) were …"
57,"TL Lynch","The hidden role of software in educational research: Policy to practice",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=e1GsCQAAQBAJ&oi=fnd&pg=PP1&dq=software+technology&ots=xc6-vJ8gC-&sig=Jx_1tQjcE-Ip4nz0BB1gW8oIXdI","https://scholar.google.com/scholar?cites=15625180274961851666&as_sdt=2005&sciodt=0,5&hl=en",45,"2021-05-11 13:43:02","BOOK","","","",,,,,57,9.50,57,1,6,"… Drawing on theories and methodolo- gies from English education, critical discourse analysis, multimodal semiot- ics and digital humanities, this volume exposes the problems of technology in schools and refocuses the conversation on software …"
40,"R Kormány, J Fekete, D Guillarme, S Fekete","Reliability of simulated robustness testing in fast liquid chromatography, using state-of-the-art column technology, instrumentation and modelling software",2014,"Journal of pharmaceutical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0731708513004883","https://scholar.google.com/scholar?cites=16745270111706427848&as_sdt=2005&sciodt=0,5&hl=en",46,"2021-05-11 13:43:02","","","","",,,,,40,5.71,10,4,7,"The goal of this study was to evaluate the accuracy of simulated robustness testing using commercial modelling software (DryLab) and state-of-the-art stationary phases. For this purpose, a mixture of amlodipine and its seven related impurities was analyzed on short …"
37,"T Dingsøyr, T Dybå, NB Moe","Agile software development: an introduction and overview",2010,"Agile Software Development","Springer","https://link.springer.com/chapter/10.1007/978-3-642-12575-1_1","https://scholar.google.com/scholar?cites=1027043977106623440&as_sdt=2005&sciodt=0,5&hl=en",47,"2021-05-11 13:43:02","","","","",,,,,37,3.36,12,3,11,"… 16. 30 5 Sharp, H. and Robinson, H. (2004) An ethnographic study of XP practice, Empiri- cal Software Engineering, vol. 9. 29 6 George, B. and Williams, L. (2004) A structured experiment of test-driven devel- opment, Information and Software Technology, vol. 46. 28 …"
1131,"T Dingsøyr, S Nerur, VG Balijepally, NB Moe","A decade of agile methodologies: Towards explaining agile software development",2012,"","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121212000532","https://scholar.google.com/scholar?cites=4506590499988105806&as_sdt=2005&sciodt=0,5&hl=en",48,"2021-05-11 13:43:02","HTML","","","",,,,,1131,125.67,283,4,9,"… Fig. 3. Number of papers by conference. An overview of journal publications (see Fig. 4) reveals that IEEE Software has the largest number of papers, followed by the Journal of Systems and Software, Information and Software Technology, and Empirical Software Engineering …"
48,"H Karhatsu, M Ikonen, P Kettunen…","Building blocks for self-organizing software development teams a framework model and empirical pilot study",2010,"… Software Technology …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5608848/","https://scholar.google.com/scholar?cites=2792628443958109228&as_sdt=2005&sciodt=0,5&hl=en",49,"2021-05-11 13:43:02","","","","",,,,,48,4.36,12,4,11,"Self-organization is one of the foundations of agile software development. Many positive outcomes have been associated with having teams operating at high levels of self-organization. This paper reports the results of a pilot study which reviews the existing body …"
789,"B Kitchenham, R Pretorius, D Budgen…","Systematic literature reviews in software engineering–a tertiary study",2010,"… and software technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584910000467","https://scholar.google.com/scholar?cites=8543740193074692352&as_sdt=2005&sciodt=0,5&hl=en",50,"2021-05-11 13:43:02","","","","",,,,,789,71.73,197,4,11,"Context In a previous study, we reported on a systematic literature review (SLR), based on a manual search of 13 journals and conferences undertaken in the period 1st January 2004 to 30th June 2007. Objective The aim of this on-going research is to provide an annotated …"
31,"X Larrucea, A Combelles, J Favaro","Safety-critical software [guest editors' introduction]",2013,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6504883/","https://scholar.google.com/scholar?cites=9650890370840981577&as_sdt=2005&sciodt=0,5&hl=en",51,"2021-05-11 13:43:02","","","","",,,,,31,3.88,10,3,8,"… We believe that this observable transition of a research technique into an industrial environment in which certification bodies are neither system nor software technology specialists is a significant step forward in safety- critical systems engineering and an interesting achievement …"
