"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improving State-of-the-art Compression Techniques for Log Management Tools","K. Yao; M. Sayagh; W. Shang; A. E. Hassan","School of Computing, Queen's University, 4257 Kingston, Ontario, Canada, (e-mail: kundi@cs.queensu.ca); School of Computing, Queen's University, 4257 Kingston, Ontario, Canada, (e-mail: msayagh@cs.queensu.ca); Department of Computer Science and Software Engineering, Concordia University, Montreal, Quebec, Canada, (e-mail: shang@encs.concordia.ca); School of Computing, Queen's University, Kingston, Ontario, Canada, K7L 3N6 (e-mail: ahmed@cs.queensu.ca)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Log data records important runtime information about the running of a software system for different purposes including performance assurance, capacity planning, and anomaly detection. Log management tools such as ELK Stack and Splunk are widely adopted to manage and leverage log data in order to assist DevOps in real-time log analytics and decision making. To enable fast queries and to save storage space, such tools split log data into small blocks (e.g., 16KB), then index and compress each block separately. Previous log compression studies focus on improving the compression of either large-sized log files or log streams, without considering improving the compression of small log blocks (the actual compression need by modern log management tools). The evaluation of four state-of-the-art compression approaches (e.g., Logzip, a variation of Logzip by pre-extracting log templates named Logzip-E, LogArchive and Cowic) indicates that these approaches do not perform well on small log blocks. In fact, the compressed blocks that are preprocessed using Logzip, Logzip-E, LogArchive or Cowic are even larger (on median 1.3 times, 1.5 times, 0.2 times or 6.6 times) than the compressed blocks without any preprocessing. Hence, we propose an approach named LogBlock to preprocess small log blocks before compressing them with a general compressor such as gzip, deflate and lz4, which are widely adopted by log management tools. Logblock reduces the repetitiveness of logs by preprocessing the log headers and rearranging the log content leading to an improved compression ratio for a log file. Our evaluation on 16 log files shows that, for 16KB to 128KB block sizes, the compressed blocks by LogBlock are on median 5% to 21% smaller than the same compressed blocks without preprocessing (outperforming the state-of-the-art compression approaches). LogBlock achieves both a higher compression ratio (a median of 1.7 to 8.4 times, 1.9 to 10.0 times, 1.3 to 1.9 times and 6.2 to 11.4 times) and a faster compression speed (a median of 30.8 to 49.7 times, 42.6 to 53.8 times, 4.5 to 6.0 times and 2.5 to 4.0 times) than Logzip, Logzip-E, LogArchive and Cowic. LogBlock can help improve the storage efficiency of log management tools.","1939-3520","","10.1109/TSE.2021.3069958","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9392377","Software log compression;Software logging;Log management tools F","Tools;Indexes;IP networks;Software systems;Runtime;Monitoring;Message systems","","","","","","","IEEE","31 Mar 2021","","","IEEE","IEEE Early Access Articles"
"How do Practitioners Perceive the Relevance of Requirements Engineering Research?","X. Franch; D. Mendez; A. Vogelsang; R. Heldal; E. Knauss; M. Oriol; G. Travassos; J. C. Carver; T. Zimmermann","Departament de Enginyeria de Serveis i Sistemes de Informaci? (ESSI), Universitat Polit?cnica de Catalunya, 16767 Barcelona, Catalunya, Spain, (e-mail: franch@essi.upc.edu); Software Engineering Research Lab, Blekinge Institute of Technology, 4206 Karlskrona, Blekinge, Sweden, (e-mail: daniel.mendez@bth.se); Daimler Center for Automotive IT Innovations, Technische Universitat Berlin, 26524 Berlin, Berlin, Germany, (e-mail: vogelsang@cs.uni-koeln.de); Department of Computer science, Electrical engineering and Mathematical sciences, Western Norway University of Applied Sciences, 1657 Bergen, Hordaland, Norway, (e-mail: rohe@hvl.no); Computer Science and Engineering, Chalmers tekniska hogskola Campus Lindholmen, 101171 Goteborg, Sweden, Sweden, (e-mail: eric.knauss@cse.gu.se); ESSI, Universitat Polit?cnica de Catalunya, 16767 Barcelona, Catalunya, Spain, (e-mail: moriol@essi.upc.edu); Instituto Alberto Luiz Coimbra de P?s-Gradua??o e Pesquisa de Engenharia, Federal University of Rio de Janeiro, 28125 Rio de Janeiro, RJ, Brazil, (e-mail: bht@cos.ufjr.br); Computer Science, University of Alabama, Tuscaloosa, Alabama, United States, 35487 (e-mail: carver@cs.ua.edu); Research, Microsoft Corporation, Redmond, Washington, United States, 98052 (e-mail: tzimmer@microsoft.com)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Context: The relevance of Requirements Engineering (RE) research to practitioners is vital for a long-term dissemination of research results to everyday practice. Some authors have speculated about a mismatch between research and practice in the RE discipline. However, there is not much evidence to support or refute this perception. Objective: This paper presents the results of a study aimed at gathering evidence from practitioners about their perception of the relevance of RE research and at understanding the factors that influence that perception. Method: We conducted a questionnaire-based survey of industry practitioners with expertise in RE. The participants rated the perceived relevance of 435 scientific papers presented at five top RE-related conferences. Results: The 153 participants provided a total of 2,164 ratings. The practitioners rated RE research as essential or worthwhile in a majority of cases. However, the percentage of non-positive ratings is still higher than we would like. Among the factors that affect the perception of relevance are the paper?s links to industry, the research method used, and respondents? roles. The reasons for positive perceptions were primarily related to the relevance of the problem and the soundness of the solution, while the causes for negative perceptions were more varied. The respondents also provided suggestions for future research, including topics researchers have studied for decades, like elicitation or requirement quality criteria. Conclusions: The study is valuable for both researchers and practitioners. Researchers can use the reasons respondents gave for positive and negative perceptions and the suggested research topics to help make their research more appealing to practitioners and thus more prone to industry adoption. Practitioners can benefit from the overall view of contemporary RE research by learning about research topics that they may not be familiar with, and compare their perception with those of their colleagues to self-assess their positioning towards more academic research.","1939-3520","","10.1109/TSE.2020.3042747","Ministerio de Ciencia e Innovación; Conselho Nacional de Desenvolvimento Científico e Tecnológico; KKS Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282205","Requirements Engineering;Survey;Impact of Research;Practitioners' Perception","Industries;Protocols;Requirements engineering;Buildings;Tools;Testing;Task analysis","","","","","","","IEEE","4 Dec 2020","","","IEEE","IEEE Early Access Articles"
"ModGuard: Identifying Integrity &Confidentiality Violations in Java Modules","A. Dann; B. Hermann; E. Bodden","Heinz Nixdorf Institut, Universitat Paderborn, 26578 Paderborn, NRW Germany (e-mail: andreas.dann@uni-paderborn.de); Heinz Nixdorf Institut, Universitat Paderborn, 26578 Paderborn, NRW Germany (e-mail: ben.hermann@uni-paderborn.de); Software Engineering, Universitat Paderborn Fakultat fur Elektrotechnik Informatik und Mathematik, 232601 Paderborn, NRW Germany 33102 (e-mail: eric.bodden@uni-paderborn.de)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","With version 9, Java has been given the new module system Jigsaw. Major goals were to simplify maintainability of the JDK and improve its security by encapsulating modules' internal types. While the module system successfully limits the visibility of internal types, it does not prevent sensitive data from escaping. Since the module system reasons about types only, objects are allowed to escape even if that module declares the type as internal. Finding such unintended escapes is important, as they may violate a module's integrity and confidentiality, but is a complex task as it requires one to reason about pointers and type hierarchy. We thus present ModGuard, a novel static analysis based on Doop which complements the Java module system with an analysis to automatically identify instances that escape their declaring module. Along with ModGuard we contribute a complete formal definition of a module's entrypoints, i.e., the method implementations that a module actually allows other modules to directly invoke. We further make available a novel micro-benchmark suite Mic9Bench to show the effectiveness but also current shortcomings of ModGuard, and to enable comparative studies in the future. Finally, we describe a case study that we conducted using Apache Tomcat, which shows that a migration of applications towards Jigsaw modules does not prevent sensitive instances from escaping, yet also shows that ModGuard is an effective aid in identifying integrity and confidentiality violations of sensitive instances.","1939-3520","","10.1109/TSE.2019.2931331","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8778721","Java 9;Jigsaw;Module Systems;Security;Static Escape Analysis;Doop;Soot","Java;Security;Cognition;Static analysis;Encapsulation;Manuals;Benchmark testing","","","","","","","","29 Jul 2019","","","IEEE","IEEE Early Access Articles"
"RefactoringMiner 2.0","N. Tsantalis; A. Ketkar; D. Dig","Computer Science and Software Engineering, Concordia University, Montreal, Quebec Canada H3G 1M8 (e-mail: nikolaos.tsantalis@concordia.ca); Electrical Engineering and Computer Science, Oregon State University, 2694 Corvallis, Oregon United States (e-mail: ketkara@oregonstate.edu); Computer Science, University of Colorado Boulder, 1877 Boulder, Colorado United States (e-mail: digd@eecs.oregonstate.edu)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Refactoring detection is crucial for a variety of applications and tasks: (i) empirical studies about code evolution, (ii) tools for library API migration, (iii) code reviews and change comprehension. However, recent research has questioned the accuracy of the state-of-the-art refactoring mining tools, which poses threats to the reliability of the detected refactorings. Moreover, the majority of refactoring mining tools depend on code similarity thresholds. Finding universal threshold values that can work well for all projects, regardless of their architectural style, application domain, and development practices is extremely challenging. Therefore, in a previous work [1], we introduced the first refactoring mining tool that does not require any code similarity thresholds to operate. In this work, we extend our tool to support low-level refactorings that take place within the body of methods. To evaluate our tool, we created one of the most accurate, complete, and representative refactoring oracles to date, including 7,223 true instances for 40 different refactoring types detected by one (minimum) up to six (maximum) different tools, and validated by one up to four refactoring experts. Our evaluation showed that our approach achieves the highest average precision (99.6%) and recall (94%) among all competitive tools, and on median is 2.6 times faster than the second faster competitive tool.","1939-3520","","10.1109/TSE.2020.3007722","Division of Computing and Communication Foundations; Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9136878","Refactoring Mining;Refactoring Oracle;Precision;Recall;Execution time;Git;Commit","Tools;Open source software;Software systems;Task analysis;Libraries;Syntactics;Maintenance engineering","","","","4","","","","8 Jul 2020","","","IEEE","IEEE Early Access Articles"
"Efficient execution of ATL model transformations using static analysis and parallelism","J. Sanchez Cuadrado; L. Burgueno; M. Wimmer; A. Vallecillo","Informtica y Sistemas, University of Murcia, Murcia, Murcia Spain 30100 (e-mail: jesusc@um.es); Lenguajes y Ciencias de la Computacin, Universidad de Mlaga, Mlaga, Mlaga Spain 29071 (e-mail: lburguenoc@uoc.edu); Software Engineering, Johannes Kepler Universitat Linz, 27266 Linz, n/a Austria (e-mail: manuel.wimmer@jku.at); Lenguajes y Ciencias de la Computacin, Universidad de Malaga, 16752 Spain, Malaga Spain 29071 (e-mail: av@lcc.uma.es)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Although model transformations are considered to be the heart and soul of Model Driven Engineering (MDE), there are still several challenges that need to be addressed to unleash their full potential in industrial settings. Among other shortcomings, their performance and scalability remain unsatisfactory for dealing with large models, making their wide adoption difficult in practice. This paper presents A2L, a compiler for the parallel execution of ATL model transformations, which produces efficient code that can use existing multicore computer architectures, and applies effective optimizations at the transformation level using static analysis. We have evaluated its performance in both sequential and multi-threaded modes obtaining significant speedups with respect to current ATL implementations. In particular, we obtain speedups between 2.32x and 38.28x for the A2L sequential version, and between 2.40x and 245.83x when A2L is executed in parallel, with expected average speedups of 8.59x and 22.42x, respectively.","1939-3520","","10.1109/TSE.2020.3011388","Ministerio de Ciencia e Innovacin; Austrian Federal Ministry for Digital and Economic Affairs National Foundation for Research Technology and Development FWF; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9146715","Model transformation;MDE;ATL;Performance;Scalability;Parallelization","Unified modeling language;Analytical models;Engines;Java;Scalability;Static analysis;Biological system modeling","","","","","","","","23 Jul 2020","","","IEEE","IEEE Early Access Articles"
"Change-Patterns Mapping: A Boosting Way for Change Impact Analysis","Y. Huang; J. Jiang; X. Luo; X. Chen; Z. Zheng; N. Jia; G. Huang","School of Software Engineering, Sun Yat-sen University, Guangzhou, GuangDong, China, (e-mail: huangyjn@gmail.com); School of Data and Computer Science, School of Data and Computer Science, Sun Yat-sen University, Guangzhou 510006, China., Guangzhou, Guangdong, China, (e-mail: exinpie@163.com); Department of Computing, The Hong Kong Polytechnic University, Hong Kong, Hong Kong, Hong Kong, (e-mail: csxluo@comp.polyu.edu.hk); the School of Communication and Design, Sun Yat-sen University, Guangzhou, Guangdong, China, 510000 (e-mail: chenxp8@mail.sysu.edu.cn); School of Data and Computer Science, Sun Yat-sen University, Guangzhou, Guangdong, China, (e-mail: zibinzheng@yeah.net); School of Management Science and Engineering, Hebei GEO University, 12410 Shijiazhuang, Hebei, China, (e-mail: jianan_0101@163.com); Computer Science, School of EECS, Beijing, Beijing, China, 100871 (e-mail: hg@pku.edu.cn)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Change impact analysis (CIA) is a specialized process of program comprehension that investigates the ripple effects of a code change in a software system. In this paper, we present a boosting way for change impact analysis via mapping the historical change-patterns to current CIA task in a cross-project scenario. The change-patterns reflect the coupling dependencies between changed entities in a change set. A traditional CIA tool (such as ImpactMiner) outputs an initial impact set for a starting entity. To boost the traditional CIA tool, our approach retrieves an equivalent entity from various historical change sets for the starting entity. Then, the change-patterns between the equivalent entity and the rest of entities in the change set are mapped to the CIA task at hand. For current CIA task, if an entity in the initial impact set involves the similar change-pattern with the starting entity when comparing with the mapped change-pattern, we will reward the impacted confidence of the entity. Accuracy improvements are observed in the experiments when applying our boosting method to three famous CIA tools, i.e., ImpactMiner, JRipples and ROSE.","1939-3520","","10.1109/TSE.2021.3059481","China Postdoctoral Science Foundation; Fundamental Research Funds for the Central Universities; National Natural Science Foundation of China; Guangdong Basic and Applied Basic Research Foundation; Key-Area Research and Development Program of Guangdong Province; Hong Kong RGC Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9354949","Change Impact Analysis;Change-Patterns;Coupling Dependency;Boosting Method","Software;Task analysis;Tools;Couplings;Boosting;Software systems;Licenses","","","","","","","CCBYNCND","16 Feb 2021","","","IEEE","IEEE Early Access Articles"
"Enhancement of Mutation Testing via Fuzzy Clustering and Multi-population Genetic Algorithm","X. Dang; D. Gong; X. Yao; T. Tian; H. Liu","School of Information and Control Engineering, China University of Mining and Technology, 12392 Xuzhou, Jiangsu, China, (e-mail: dangpaper@163.com); School of Information and Electrical Engineering, China University of Mining and Technology, 12392 Xuzhou, Jiangsu, China, (e-mail: dwgong@vip.163.com); School of Mathematics, China University of Mining and Technology, 12392 Xuzhou, Jiangsu, China, (e-mail: yaoxj@cumt.edu.cn); School of Computer Science and Technology, Shandong Jianzhu University, 105835 Jinan, Shandong, China, (e-mail: tian_tiantian@126.com); Department of Computer Science and Software Engineering, Swinburne University of Technology, 3783 Hawthorn, Victoria, Australia, (e-mail: hliu@swin.edu.au)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Mutation testing, a fundamental software testing technique, which is a typical way to evaluate the adequacy of test data. In mutation testing, a set of mutants are generated by seeding the different classes of faults into a program under test. Test data shall be generated in the way that as many mutants can be killed as possible. Thanks to numerous tools to implement mutation testing for different languages, a huge amount of mutants are normally generated even for small-sized programs. However, a large number of mutants not only leads to a high cost of mutation testing, but also make the corresponding test data generation a non-trivial task. In this paper, we make use of intelligent technologies to improve the effectiveness and efficiency of mutation testing from two perspectives. A machine learning technique, namely fuzzy clustering, is applied to categorize mutants into different clusters. Then, a multi-population genetic algorithm via individual sharing is employed to generate test data for killing the mutants in different clusters in parallel when the problem of test data generation as an optimization one. A comprehensive framework, termed as FUZGENMUT, is thus developed to implement the proposed techniques. The experiments based on nine programs of various sizes show that fuzzy clustering can help to reduce the cost of mutation testing effectively, and that the multi-population genetic algorithm improves the efficiency of test data generation while delivering the high mutant-killing capability. The results clearly indicate the huge potential of using intelligent technologies to enhance the efficacy and thus the practicality of mutation testing.","1939-3520","","10.1109/TSE.2021.3052987","National Natural Science Foundation of China; National Key Research and Development Program of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9328619","mutation testing;fuzzy clustering;mutation clustering;test data generation;multi-population genetic algorithm (MGA)","Testing;Genetic algorithms;Sorting;Clustering algorithms;Syntactics;Statistics;Sociology","","","","","","","IEEE","19 Jan 2021","","","IEEE","IEEE Early Access Articles"
"DPWord2Vec: Better Representation of Design Patterns in Semantics","D. Liu; H. Jiang; X. Li; Z. Ren; L. Qiao; Z. Ding","School of Software, Dalian University of Technology, 12399 Dalian, Liaoning China (e-mail: dongliu@mail.dlut.edu.cn); School of Software, Dalian University of Technology, Dalian, Liaoning China 116621 (e-mail: jianghe@dlut.edu.cn); School of Software, Dalian university of technology Dalian, Dalian, Liaoning China 116621 (e-mail: li1989@mail.dlut.edu.cn); School of Software, Dalian university of technology, Dalian, Liaoning China (e-mail: zren@dlut.edu.cn); On-board Computer Center, Beijing Institute of Control Engineering, 154569 Beijing, Beijing China (e-mail: qosman@163.com); Center of Math Computing and Software Engineering, Zhejiang Sci-Tech University, Hangzhou, Zhejiang China (e-mail: zouhuading@hotmail.com)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","With the plain text descriptions of design patterns, developers could better learn and understand the definitions and usage scenarios of design patterns. To facilitate the automatic usage of these descriptions, e.g., recommending design patterns by free-text queries, design patterns and natural languages should be adequately associated. Existing studies usually use texts in design pattern books as the representations of design patterns to calculate similarities with the queries. However, this way is problematic. Lots of information of design patterns may be absent from design pattern books and many words would be out of vocabulary due to the content limitation of these books. To overcome these issues, a more comprehensive method should be constructed to estimate the relatedness between design patterns and natural language words. Motivated by Word2Vec, in this study, we propose DPWord2Vec that embeds design patterns and natural language words into vectors simultaneously. We first build a corpus containing more than 400 thousand documents extracted from design pattern books, Wikipedia, and Stack Overflow. Next, we redefine the concept of context window to associate design patterns with words. Then, the design pattern and word vector representations are learnt by leveraging an advanced word embedding method. The learnt design pattern and word vectors can be universally used in textual description based design pattern tasks. An evaluation shows that DPWord2Vec outperforms the baseline algorithms by 17.1%-96.5% in measuring the similarities between design patterns and words in terms of Spearman's rank correlation coefficient. Moreover, we adopt DPWord2Vec on two typical design pattern tasks. In the design pattern tag recommendation task, the DPWord2Vec based method outperforms two state-of-the-art algorithms by 6.6% and 32.7% respectively when considering Recall@10. In the design pattern selection task, DPWord2Vec improves the existing methods by 6.5%-70.7% in terms of MRR.","1939-3520","","10.1109/TSE.2020.3017336","National Natural Science Foundation of China; National Key Research and Development Plan of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9170909","Design Pattern;Word Embedding;Word2Vec;Semantic Similarity;Tag Recommendation;Design Pattern Selection","Natural languages;Task analysis;Semantics;Windows;Vocabulary;Software design","","","","","","","","18 Aug 2020","","","IEEE","IEEE Early Access Articles"
"Theoretical and Empirical Analyses of the Effectiveness of Metamorphic Relation Composition","K. Qiu; Z. Zheng; T. Chen; P. Poon","School of Automation Science and Electrical Engineering, Beihang University, 12633 Beijing, Beijing China (e-mail: qiukun@buaa.edu.cn); School of Automation Science and Electrical Engineering, Beihang University, 12633 Beijing, Beijing China (e-mail: zhengz@buaa.edu.cn); Department of Computer Science and Software Engineering, Swinburne University of Technology, 3783 Melbourne, Victoria Australia (e-mail: tychen@swin.edu.au); School of Engineering and Technology, Central Queensland University, 6939 Melbourne, Victoria Australia (e-mail: p.poon@cqu.edu.au)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Metamorphic Relations (MRs) play a key role in determining the fault detection capability of Metamorphic Testing (MT). As human judgement is required for MR identification, systematic MR generation has long been an important research area in MT. Additionally, due to the extra program executions required for follow-up test cases, some concerns have been raised about MT cost-effectiveness. Consequently, the reduction in testing costs associated with MT has become another important issue to be addressed. MR composition can address both of these problems. This technique can automatically generate new MRs by composing existing ones, thereby reducing the number of follow-up test cases. Despite this advantage, previous studies on MR composition have empirically shown that some composite MRs have lower fault detection capability than their corresponding component MRs. To investigate this issue, we performed theoretical and empirical analyses to identify what characteristics component MRs should possess so that their corresponding composite MR has at least the same fault detection capability as the component MRs do. We have also derived a convenient, but effective guideline so that the fault detection capability of MT will most likely not be reduced after composition.","1939-3520","","10.1109/TSE.2020.3009698","Technical Foundation Project of Ministry of Industry and Information Technology of China; National Natural Science Foundation of China; Equipment Preliminary R and D Project of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9144441","Metamorphic testing;metamorphic relation;metamorphic relation composition;test oracle;fault detection","Testing;Fault detection;Software;Guidelines;Systematics;Australia;Companies","","","","1","","","","20 Jul 2020","","","IEEE","IEEE Early Access Articles"
"What Flows through a Software Value Stream?","M. Kersten",Tasktop,"IEEE Software","6 Jul 2018","2018","35","4","8","11","Most enterprise IT organizations don't have a well-defined productivity measure for what flows through their software production process. No clear consensus exists from academia or industry thought leaders on what constitutes software development productivity. Organizations know it when they see it-for example, through products that drive market adoption faster than others. But correlating development activities to those results has been more of an opaque art than a disciplined activity. To define productivity in a value stream, we must first define what flows.","1937-4194","","10.1109/MS.2018.2801538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405621","software delivery value stream;software delivery;software value stream;lean software development;agile software development;DevOps;flow units;features;defects;technical debt;risk;Scaled Agile Framework;SAFe;Information Technology Infrastructure Library;ITIL;software development tools;software development;software engineering;On DevOps","Software product lines;Computer security;Production management;Production systems;Task analysis;Performance evaluation","organisational aspects;productivity;software engineering","software value stream;software production process;software development productivity;enterprise IT organizations;productivity measure","","1","","10","","6 Jul 2018","","","IEEE","IEEE Magazines"
"Recent Progress in Software Security","E. Amoroso",TAG Cyber,"IEEE Software","12 Mar 2018","2018","35","2","11","13","To reduce cybersecurity risk in software, the security community has widely adopted an approach involving a collage of techniques, tools, and methods, each addressing some aspect of the threat implications of bad code. This article briefly surveys recent progress in each element of this combined approach, including the pros and cons for reducing cybersecurity risk.","1937-4194","","10.1109/MS.2018.1661316","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8314164","software security;malware;malware detection;software process maturity;software review;software scanning;DevOps;runtime application self-protection;RASP;software development;software engineering;Invited Content","Computer security;Malware;Software reliability;Runtime;Computer bugs","security of data;software engineering","software security;cybersecurity risk;security community;threat implications;bad code","","2","","1","","12 Mar 2018","","","IEEE","IEEE Magazines"
"A Theoretical and Empirical Study of Diversity-Aware Mutation Adequacy Criterion","D. Shin; S. Yoo; D. Bae","KAIST, Daejeon, Republic of Korea; KAIST, Daejeon, Republic of Korea; KAIST, Daejeon, Republic of Korea","IEEE Transactions on Software Engineering","14 Oct 2018","2018","44","10","914","931","Diversity has been widely studied in software testing as a guidance towards effective sampling of test inputs in the vast space of possible program behaviors. However, diversity has received relatively little attention in mutation testing. The traditional mutation adequacy criterion is a one-dimensional measure of the total number of killed mutants. We propose a novel, diversity-aware mutation adequacy criterion called distinguishing mutation adequacy criterion, which is fully satisfied when each of the considered mutants can be identified by the set of tests that kill it, thereby encouraging inclusion of more diverse range of tests. This paper presents the formal definition of the distinguishing mutation adequacy and its score. Subsequently, an empirical study investigates the relationship among distinguishing mutation score, fault detection capability, and test suite size. The results show that the distinguishing mutation adequacy criterion detects 1.33 times more unseen faults than the traditional mutation adequacy criterion, at the cost of a 1.56 times increase in test suite size, for adequate test suites that fully satisfies the criteria. The results show a better picture for inadequate test suites; on average, 8.63 times more unseen faults are detected at the cost of a 3.14 times increase in test suite size.","1939-3520","","10.1109/TSE.2017.2732347","Information & communications Technology Promotion (IITP); Korea government (MSIP); Software R&D for Model-based Analysis and Verification of Higher-order Large Complex System; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7994647","Mutation testing;test adequacy criteria;diversity","Fault detection;Software engineering;Software testing;Correlation;Indexes;Subspace constraints","fault diagnosis;program testing;software engineering","empirical study;diversity-aware mutation adequacy criterion;software testing;test inputs;mutation testing;distinguishing mutation score;distinguishing mutation adequacy criterion;adequate test suites;inadequate test suites;theoretical study;program behaviors;killed mutants;fault detection capability","","3","","58","","27 Jul 2017","","","IEEE","IEEE Journals"
"Expanding Queries for Code Search Using Semantically Related API Class-names","F. Zhang; H. Niu; I. Keivanloo; Y. Zou","Queen's University, Kingston, ON, Canada; Department of Electrical and Computer Engineering, Queen's University, Kingston, ON, Canada; Department of Electrical and Computer Engineering, Queen's University, Kingston, ON, Canada; Department of Electrical and Computer Engineering, Queen's University, Kingston, ON, Canada","IEEE Transactions on Software Engineering","11 Nov 2018","2018","44","11","1070","1082","When encountering unfamiliar programming tasks (e.g., connecting to a database), there is a need to seek potential working code examples. Instead of using code search engines, software developers usually post related programming questions on online Q&A forums (e.g., Stack Overflow). One possible reason is that existing code search engines would return effective code examples only if a query contains identifiers (e.g., class or method names). In other words, existing code search engines do not handle natural-language queries well (e.g., a description of a programming task). However, developers may not know the appropriate identifiers at the time of the search. As the demand of searching code examples is increasing, it is of significant interest to enhance code search engines. We conjecture that expanding natural-language queries with their semantically related identifiers has a great potential to enhance code search engines. In this paper, we propose an automated approach to find identifiers (in particular API class-names) that are semantically related to a given natural-language query. We evaluate the effectiveness of our approach using 74 queries on a corpus of 23,677,216 code snippets that are extracted from 24,666 open source Java projects. The results show that our approach can effectively recommend semantically related API class-names to expand the original natural-language queries. For instance, our approach successfully retrieves relevant code examples in the top 10 retrieved results for 76 percent of 74 queries, while it is 36 percent when using the original natural-language query; and the median rank of the first relevant code example is increased from 22 to 7.","1939-3520","","10.1109/TSE.2017.2750682","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031055","Query expansion;code search;neural network language model;API class-name","Search engines;Programming;Java;Software engineering;IEEE transactions;Software;Joining processes","application program interfaces;Internet;natural language processing;query processing;search engines;software engineering","semantically related API class-names;natural-language query;code search engines;online Q&A forums;software developers","","5","","46","","11 Sep 2017","","","IEEE","IEEE Journals"
"Automatically Exploring Tradeoffs Between Software Output Fidelity and Energy Costs","J. Dorn; J. Lacomis; W. Weimer; S. Forrest","Department of Computer Science, University of Virginia, Charlottesville, VA; Department of Computer Science, University of Virginia, Charlottesville, VA; Department of Computer Science, University of Virginia, Charlottesville, VA; Arizona State University, Tempe, AZ","IEEE Transactions on Software Engineering","13 Mar 2019","2019","45","3","219","236","Data centers account for a significant fraction of global energy consumption and represent a growing business cost. Most current approaches to reducing energy use in data centers treat it as a hardware, compiler, or scheduling problem. This article focuses instead on the software level, showing how to reduce the energy used by programs when they execute. By combining insights from search-based software engineering, mutational robustness, profile-guided optimization, and approximate computing, the Producing Green Applications Using Genetic Exploration (PowerGAUGE) algorithm finds variants of individual programs that use less energy than the original. We apply hardware, software, and statistical techniques to manage the complexity of accurately assigning physical energy measurements to particular processes. In addition, our approach allows, but does not require, relaxing output quality requirements to achieve greater non-functional improvements. PowerGAUGE optimizations are validated using physical performance measurements. Experimental results on PARSEC benchmarks and two larger programs show average energy reductions of 14% when requiring the preservation of original output quality and 41% when allowing for human-acceptable levels of error.","1939-3520","","10.1109/TSE.2017.2775634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8118155","Power optimization;search-based software engineering;genetic algorithms;profile-guided optimization;optimizing noisy functions;accurate energy measurement","Energy consumption;Optimization;Hardware;Genetic algorithms;Software;Energy measurement","computer centres;energy conservation;energy consumption;genetic algorithms;optimisation;program compilers;scheduling;software quality;statistical analysis","tradeoffs;software output fidelity;data centers;global energy consumption;compiler;scheduling problem;software level;search-based software engineering;profile-guided optimization;approximate computing;statistical techniques;physical energy measurements;PowerGAUGE optimizations;physical performance measurements;business cost;energy reductions;genetic exploration;producing green applications;energy costs;PARSEC benchmarks","","1","","63","","22 Nov 2017","","","IEEE","IEEE Journals"
