Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
73,"L Briand","Embracing the engineering side of software engineering",2012,"IEEE software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6265086/","https://scholar.google.com/scholar?cites=14978100767254729046&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-05-11 13:03:30","","","","",,,,,73,8.11,73,1,9,"The author provides, based on 20 years of research and industrial experience, his assessment of software engineering research. He then builds on such analysis to provide recommendations on how we need to change as a research community to increase our …"
81,"C Calero, M Piattini","Green in software engineering",2015,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-319-08581-4.pdf","https://scholar.google.com/scholar?cites=3720270112742402673&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-05-11 13:03:30","BOOK","","","",,,,,81,13.50,41,2,6,"Sustainability is being demanded by our society today; we have become aware of the need to cut down on our energy consumption and reduce our carbon footprint. At an international level, there is a whole host of initiatives trying to tackle these issues, and the main research …"
87,"H Zhang, MA Babar","On searching relevant studies in software engineering",2010,"… and Assessment in Software Engineering …","scienceopen.com","https://www.scienceopen.com/hosted-document?doi=10.14236/ewic/EASE2010.14","https://scholar.google.com/scholar?cites=16527719284740017129&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-05-11 13:03:30","","","","",,,,,87,7.91,44,2,11,"BACKGROUND: Systematic Literature Review (SLR) has become an important research methodology in software engineering since 2004. One critical step in applying this methodology is to design and execute appropriate and effective search strategy. This is …"
101,"B Vogel-Heuser, C Diedrich, A Fay, S Jeschke…","Challenges for software engineering in automation",2014,"… of Software Engineering …","scirp.org","https://www.scirp.org/html/11-9301880_46096.htm","https://scholar.google.com/scholar?cites=4031982210237805833&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-05-11 13:03:30","HTML","","","",,,,,101,14.43,20,5,7,"This paper gives an introduction to the essential challenges of software engineering and requirements that software has to fulfill in the domain of automation. Besides, the functional characteristics, specific constraints and circumstances are considered for deriving …"
118,"C Page, HW Six","Software Engineering",2017,"Larsen and Keller Education","repo.mimitlibrary.ac.in","http://repo.mimitlibrary.ac.in:8080/jspui/bitstream/123456789/6319/1/Software%20Engineering%20BS-302.pdf","https://scholar.google.com/scholar?cites=15367625980789631441&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-05-11 13:03:30","","","","",,,,,118,29.50,59,2,4,"1. a) What are drawbacks of Spiral Model? b) What is the role of Metrics? c) Write a short note on use case diagrams? d) Define Lattice Model? e) Write a short note on ER diagram? f) Explain software cost estimation in project planning? g) Distinguish between verification & …"
1338,"P Runeson, M Host, A Rainer, B Regnell","Case study research in software engineering: Guidelines and examples",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=T7rXoaxqPIAC&oi=fnd&pg=PT8&dq=software+engineering&ots=bcylxdJ8sH&sig=ziN5KYZKk272gGeq7AVPrW6dWpg","https://scholar.google.com/scholar?cites=15312839158858777236&as_sdt=2005&sciodt=0,5&hl=en",16,"2021-05-11 13:03:30","BOOK","","","",,,,,1338,148.67,335,4,9,"Based on their own experiences of in-depth case studies of software projects in international corporations, in this book the authors present detailed practical guidelines on the preparation, conduct, design and reporting of case studies of software engineering. This is …"
729,"AI Wasserman","Software engineering issues for mobile application development",2010,"… FSE/SDP workshop on Future of software engineering …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1882362.1882443","https://scholar.google.com/scholar?cites=4940300216470751651&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-05-11 13:03:30","","","","",,,,,729,66.27,729,1,11,"This paper provides an overview of important software engineering research issues related to the development of applications that run on mobile devices. Among the topics are development processes, tools, user interface design, application portability, quality, and …"
1181,"B Bruegge, AH Dutoit","Object-‐Oriented Software Engineering. Using UML, Patterns, and Java",2009,"Learning","cobweb.cs.uga.edu","http://cobweb.cs.uga.edu/students/syllabi_pdf/CIS_CSCI_4050.pdf","https://scholar.google.com/scholar?cites=17769714450124499357&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-05-11 13:03:30","PDF","","","",,,,,1181,98.42,591,2,12,"Full cycle of a software system development effort, including requirements definition, system analysis, design, implementation, and testing. Special emphasis is placed on system analysis and design. The design phase includes development of a user interface. A large …"
83,"PA Darnell, PE Margolis","CA Software Engineering Approach",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=fLcPBwAAQBAJ&oi=fnd&pg=PR9&dq=software+engineering&ots=D7Dj-kDiGy&sig=h2OqYO5l9i4A2qfvFj0FY8EfHJ0","https://scholar.google.com/scholar?cites=6000037910025703331&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-05-11 13:03:30","BOOK","","","",,,,,83,9.22,42,2,9,"to Software Engineering For'tis the sport to have the engineer Hoist with his own petar. Shakespeare, Hamlet In the previous chapter, we introduced same basic information about pro gramming and programming languages, particularly C. If this were a book about building …"
40,"I Jacobson, E Seidewitz","A new software engineering",2014,"Communications of the ACM","dl.acm.org","https://dl.acm.org/doi/fullHtml/10.1145/2677034","https://scholar.google.com/scholar?cites=11364895964135352608&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-05-11 13:03:30","","","","",,,,,40,5.71,20,2,7,"WHAT HAPPENED TO software engineering? What happened to the promise of rigorous, disciplined, professional practices for software development, like those observed in other engineering disciplines? What has been adopted under the rubric of “software engineering” is a set of practices …"
70,"H Sharp, Y Dittrich…","The role of ethnographic studies in empirical software engineering",2016,"… on Software Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7387744/","https://scholar.google.com/scholar?cites=11559910527547888538&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-05-11 13:03:30","","","","",,,,,70,14.00,23,3,5,"Ethnography is a qualitative research method used to study people and cultures. It is largely adopted in disciplines outside software engineering, including different areas of computer science. Ethnography can provide an in-depth understanding of the socio-technological …"
97,"O Marbán, J Segovia, E Menasalvas…","Toward data mining engineering: A software engineering approach",2009,"Information systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306437908000355","https://scholar.google.com/scholar?cites=12274288508921336941&as_sdt=2005&sciodt=0,5&hl=en",22,"2021-05-11 13:03:30","","","","",,,,,97,8.08,24,4,12,"The number, variety and complexity of projects involving data mining or knowledge discovery in databases activities have increased just lately at such a pace that aspects related to their development process need to be standardized for results to be integrated …"
93,"M Harman","The role of artificial intelligence in software engineering",2012,"… on Realizing AI Synergies in Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6227961/","https://scholar.google.com/scholar?cites=38506826621146649&as_sdt=2005&sciodt=0,5&hl=en",23,"2021-05-11 13:03:30","","","","",,,,,93,10.33,93,1,9,"There has been a recent surge in interest in the application of Artificial Intelligence (AI) techniques to Software Engineering (SE) problems. The work is typified by recent advances in Search Based Software Engineering, but also by long established work in Probabilistic …"
78,"B Penzenstadler","Towards a definition of sustainability in and for software engineering",2013,"Proceedings of the 28th Annual ACM Symposium on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2480362.2480585","https://scholar.google.com/scholar?cites=17897930970224995369&as_sdt=2005&sciodt=0,5&hl=en",24,"2021-05-11 13:03:30","","","","",,,,,78,9.75,78,1,8,"Sustainability is not supported by traditional software engineering methods. This lack of support leads to inefficient efforts to address sustainability or complete omission of this important concept. Defining and developing adequate support requires a commonly …"
3298,"L Chung, BA Nixon, E Yu, J Mylopoulos","Non-functional requirements in software engineering",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=MNrcBwAAQBAJ&oi=fnd&pg=PR15&dq=software+engineering&ots=g2FcI4vT7O&sig=L0eatLaDs0s6n9Ccu_cB22wimRk","https://scholar.google.com/scholar?cites=7551642071620688669&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-05-11 13:03:30","BOOK","","","",,,,,3298,366.44,825,4,9,"Non-Functional Requirements in Software Engineering presents a systematic and pragmatic approach tobuilding quality into'software systems. Systems must exhibit software quality attributes, such as accuracy, performance, security and modifiability. However, such non …"
75,"M Broy, E Denert","Software pioneers: contributions to software engineering",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Sr-qCAAAQBAJ&oi=fnd&pg=PA11&dq=software+engineering&ots=H4Y0Zji9Hv&sig=Tj5MTAgpnYraRyao_tsiM6L94dY","https://scholar.google.com/scholar?cites=8634854662376839007&as_sdt=2005&sciodt=0,5&hl=en",26,"2021-05-11 13:03:30","BOOK","","","",,,,,75,8.33,38,2,9,"A lucid statement of the philosophy of modular programming can be found in a 1970 textbook on the design of system programs by Gouthier and Pont [1, l Cfl0. 23], which we quote below: A well-defined segmentation of the project effort ensures system modularity …"
86,"T DeMarco","Software engineering: An idea whose time has come and gone?",2009,"IEEE Software","search.proquest.com","https://search.proquest.com/openview/0d2416ea995c28534af7936314299b60/1?pq-origsite=gscholar&cbl=37787","https://scholar.google.com/scholar?cites=60320146549048055&as_sdt=2005&sciodt=0,5&hl=en",27,"2021-05-11 13:03:30","","","","",,,,,86,7.17,86,1,12,"Compelled to Control The book's most quoted line is its first sentence: “You can't control what you can't measure.” This line contains a real truth, but I've become increas- ingly uncomfortable with my use of it. Implicit in the quote (and indeed in the book's title) is that control is an important …"
77,"H Hoodat, H Rashidi","Classification and analysis of risks in software engineering",2009,"World Academy of Science, Engineering and …","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.193.3662&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=6521898481463538745&as_sdt=2005&sciodt=0,5&hl=en",28,"2021-05-11 13:03:30","PDF","","","",,,,,77,6.42,39,2,12,"Despite various methods that exist in software risk management, software projects have a high rate of failure. When complexity and size of the projects are increased, managing software development becomes more difficult. In these projects the need for more analysis …"
99,"D Falessi, N Juristo, C Wohlin, B Turhan…","Empirical software engineering experts on the use of students and professionals in experiments",2018,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-017-9523-3","https://scholar.google.com/scholar?cites=15721662872684483389&as_sdt=2005&sciodt=0,5&hl=en",29,"2021-05-11 13:03:30","","","","",,,,,99,33.00,20,5,3,"Abstract [Context] Controlled experiments are an important empirical method to generate and validate theories. Many software engineering experiments are conducted with students. It is often claimed that the use of students as participants in experiments comes at the cost of …"
3990,"P Runeson, M Höst","Guidelines for conducting and reporting case study research in software engineering",2009,"Empirical software engineering","Springer","https://link.springer.com/article/10.1007/s10664-008-9102-8","https://scholar.google.com/scholar?cites=16127251919715312246&as_sdt=2005&sciodt=0,5&hl=en",30,"2021-05-11 13:03:30","HTML","","","",,,,,3990,332.50,1995,2,12,"Case study is a suitable research methodology for software engineering research since it studies contemporary phenomena in its natural context. However, the understanding of what constitutes a case study varies, and hence the quality of the resulting studies. This paper …"
536,"DS Cruzes, T Dyba","Recommended steps for thematic synthesis in software engineering",2011,"… on empirical software engineering and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6092576/","https://scholar.google.com/scholar?cites=12246768285999463777&as_sdt=2005&sciodt=0,5&hl=en",31,"2021-05-11 13:03:30","","","","",,,,,536,53.60,268,2,10,"Thematic analysis is an approach that is often used for identifying, analyzing, and reporting patterns (themes) within data in primary qualitative research.'Thematic synthesis' draws on the principles of thematic analysis and identifies the recurring themes or issues from multiple …"
94,"HK Wright, M Kim, DE Perry","Validity concerns in software engineering research",2010,"… on Future of software engineering …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1882362.1882446","https://scholar.google.com/scholar?cites=7298658071095822703&as_sdt=2005&sciodt=0,5&hl=en",32,"2021-05-11 13:03:30","","","","",,,,,94,8.55,31,3,11,"Empirical studies that use software repository artifacts have become popular in the last decade due to the ready availability of open source project archives. In this paper, we survey empirical studies in the last three years of ICSE and FSE proceedings, and categorize these …"
68,"C Calero, M Piattini","Introduction to green in software engineering",2015,"Green in Software Engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-319-08581-4_1","https://scholar.google.com/scholar?cites=1748815609936043852&as_sdt=2005&sciodt=0,5&hl=en",33,"2021-05-11 13:03:30","","","","",,,,,68,11.33,34,2,6,"Sustainability is gaining importance worldwide, reinforced by several initiatives with wide media coverage such as the Earth hour; this is a worldwide grassroots movement uniting people to protect the planet, organised by WWF (World Wide Fund for Nature). Other …"
77,"DS Cruzes, T Dybå","Synthesizing evidence in software engineering research",2010,"… Symposium on Empirical Software Engineering …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1852786.1852788","https://scholar.google.com/scholar?cites=5532186239017892962&as_sdt=2005&sciodt=0,5&hl=en",34,"2021-05-11 13:03:30","","","","",,,,,77,7.00,39,2,11,"Synthesizing the evidence from a set of studies that spans many countries and years, and that incorporates a wide variety of research methods and theoretical perspectives, is probably the single most challenging task of performing a systematic review. In this paper …"
60,"A Arpteg, B Brinne, L Crnkovic-Friis…","Software engineering challenges of deep learning",2018,"… Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8498185/","https://scholar.google.com/scholar?cites=3496482124688093322&as_sdt=2005&sciodt=0,5&hl=en",35,"2021-05-11 13:03:30","","","","",,,,,60,20.00,15,4,3,"Surprisingly promising results have been achieved by deep learning (DL) systems in recent years. Many of these achievements have been reached in academic settings, or by large technology companies with highly skilled research groups and advanced supporting …"
729,"M Harman, SA Mansouri, Y Zhang","Search-based software engineering: Trends, techniques and applications",2012,"ACM Computing Surveys (CSUR)","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2379776.2379787","https://scholar.google.com/scholar?cites=1454353810395296838&as_sdt=2005&sciodt=0,5&hl=en",36,"2021-05-11 13:03:30","","","","",,,,,729,81.00,243,3,9,"In the past five years there has been a dramatic increase in work on Search-Based Software Engineering (SBSE), an approach to Software Engineering (SE) in which Search-Based Optimization (SBO) algorithms are used to address problems in SE. SBSE has been applied …"
756,"A Arcuri, L Briand","A practical guide for using statistical tests to assess randomized algorithms in software engineering",2011,"… Conference on Software Engineering (ICSE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6032439/","https://scholar.google.com/scholar?cites=15086517004316592566&as_sdt=2005&sciodt=0,5&hl=en",37,"2021-05-11 13:03:30","","","","",,,,,756,75.60,378,2,10,"Randomized algorithms have been used to successfully address many different types of software engineering problems. This type of algorithms employ a degree of randomness as part of their logic. Randomized algorithms are useful for difficult problems where a precise …"
103,"D Posnett, V Filkov, P Devanbu","Ecological inference in empirical software engineering",2011,"… Software Engineering (ASE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6100074/","https://scholar.google.com/scholar?cites=6994049198280130435&as_sdt=2005&sciodt=0,5&hl=en",38,"2021-05-11 13:03:30","","","","",,,,,103,10.30,34,3,10,"Software systems are decomposed hierarchically, for example, into modules, packages and files. This hierarchical decomposition has a profound influence on evolvability, maintainability and work assignment. Hierarchical decomposition is thus clearly of central …"
112,"B Bruegge, S Krusche, L Alperowitz","Software engineering project courses with industrial clients",2015,"ACM Transactions on Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2732155","https://scholar.google.com/scholar?cites=4690111338997103007&as_sdt=2005&sciodt=0,5&hl=en",39,"2021-05-11 13:03:30","","","","",,,,,112,18.67,37,3,6,"There is an acknowledged need for teaching realistic software development in project courses. The design space for such courses is wide, ranging from single-semester to two-semester courses, from single-client to multicustomer courses, from local to globally …"
469,"B Fitzgerald, KJ Stol","Continuous software engineering: A roadmap and agenda",2017,"Journal of Systems and Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121215001430","https://scholar.google.com/scholar?cites=6651105162622199027&as_sdt=2005&sciodt=0,5&hl=en",40,"2021-05-11 13:03:30","","","","",,,,,469,117.25,235,2,4,"Throughout its short history, software development has been characterized by harmful disconnects between important activities such as planning, development and implementation. The problem is further exacerbated by the episodic and infrequent …"
60,"D Broman, K Sandahl, MA Baker","The company approach to software engineering project courses",2012,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6166912/","https://scholar.google.com/scholar?cites=6741845136895200212&as_sdt=2005&sciodt=0,5&hl=en",41,"2021-05-11 13:03:30","","","","",,,,,60,6.67,20,3,9,"Teaching larger software engineering project courses at the end of a computing curriculum is a way for students to learn some aspects of real-world jobs in industry. Such courses, often referred to as capstone courses, are effective for learning how to apply the skills they …"
50,"B Boehm","Some future software engineering opportunities and challenges",2011,"The future of software engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-642-15187-3_1","https://scholar.google.com/scholar?cites=4899373503116642350&as_sdt=2005&sciodt=0,5&hl=en",42,"2021-05-11 13:03:30","","","","",,,,,50,5.00,50,1,10,"This paper provides an update and extension of a 2006 paper,“Some Future Trends and Implications for Systems and Software Engineering Processes,” Systems Engineering, Spring 2006. Some of its challenges and opportunities are similar, such as the need to …"
97,"D Gašević, N Kaviani, M Milanović","Ontologies and software engineering",2009,"Handbook on Ontologies","Springer","https://link.springer.com/chapter/10.1007/978-3-540-92673-3_27","https://scholar.google.com/scholar?cites=2496238232208214095&as_sdt=2005&sciodt=0,5&hl=en",43,"2021-05-11 13:03:30","","","","",,,,,97,8.08,32,3,12,"The chapter analyzes the state of the art in the use of ontologies for various software engineering tasks. The chapter starts from defining software engineering as an application context for ontologies. Next, it introduces a framework that identifies places in software …"
106,"I Mistrík, J Grundy, A Van der Hoek…","Collaborative software engineering: challenges and prospects",2010,"… software engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-642-10294-3_19","https://scholar.google.com/scholar?cites=375205602201121248&as_sdt=2005&sciodt=0,5&hl=en",44,"2021-05-11 13:03:30","","","","",,,,,106,9.64,27,4,11,"Much work is presently ongoing in collaborative software engineering research. This work is beginning to make serious inroads into our ability to more effectively practice collaborative software engineering, with best practices, processes, tools, metrics, and other techniques …"
96,"M Harman","Software engineering meets evolutionary computation",2011,"IEEE Annals of the History of Computing","cs.ucl.ac.uk","http://www0.cs.ucl.ac.uk/staff/mharman/ieee-computer.pdf","https://scholar.google.com/scholar?cites=17974718509236648663&as_sdt=2005&sciodt=0,5&hl=en",45,"2021-05-11 13:03:30","PDF","","","",,,,,96,9.60,96,1,10,"This interest in SBSE in general and evolutionary computation for software engineering in particular has increased rapidly in the past 10 years. Figure 1 shows the growth in publications in SBSE and the concomitant increase in papers within the SBSE field that use …"
1706,"C Wohlin","Guidelines for snowballing in systematic literature studies and a replication in software engineering",2014,"… on evaluation and assessment in software engineering","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/2601248.2601268","https://scholar.google.com/scholar?cites=8727281463705144333&as_sdt=2005&sciodt=0,5&hl=en",46,"2021-05-11 13:03:30","","","","",,,,,1706,243.71,1706,1,7,"Background: Systematic literature studies have become common in software engineering, and hence it is important to understand how to conduct them efficiently and reliably. Objective: This paper presents guidelines for conducting literature reviews using a …"
119,"LF Capretz, F Ahmed","Why do we need personality diversity in software engineering?",2010,"ACM SIGSOFT Software Engineering Notes","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1734103.1734111","https://scholar.google.com/scholar?cites=4559651741620775269&as_sdt=2005&sciodt=0,5&hl=en",47,"2021-05-11 13:03:30","","","","",,,,,119,10.82,60,2,11,"Diversity of skills is good for society, it is also good in problem solving because different people see a problem from several pers-pectives, so diversity should be good for software engineering too. This study tackles a difficult to study aspect of software engineer-ing, that is …"
121,"CM Kanode, HM Haddad","Software engineering challenges in game development",2009,"2009 Sixth International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5070627/","https://scholar.google.com/scholar?cites=1523357517103510444&as_sdt=2005&sciodt=0,5&hl=en",48,"2021-05-11 13:03:30","","","","",,,,,121,10.08,61,2,12,"In software engineering (SE), video game development is unique yet similar to other software endeavors. It is unique in that it combines the work of teams covering multiple disciplines (art, music, acting, programming, etc.), and that engaging game play is sought …"
814,"L Chung, JCS do Prado Leite","On non-functional requirements in software engineering",2009,"Conceptual modeling: Foundations and …","Springer","https://link.springer.com/chapter/10.1007/978-3-642-02463-4_19","https://scholar.google.com/scholar?cites=17834222699761046252&as_sdt=2005&sciodt=0,5&hl=en",49,"2021-05-11 13:03:30","","","","",,,,,814,67.83,407,2,12,"Essentially a software system's utility is determined by both its functionality and its non-functional characteristics, such as usability, flexibility, performance, interoperability and security. Nonetheless, there has been a lop-sided emphasis in the functionality of the …"
2691,"B Kitchenham, OP Brereton, D Budgen…","Systematic literature reviews in software engineering–a systematic literature review",2009,"Information and software …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584908001390","https://scholar.google.com/scholar?cites=14563517766994888844&as_sdt=2005&sciodt=0,5&hl=en",50,"2021-05-11 13:03:30","","","","",,,,,2691,224.25,673,4,12,"Background In 2004 the concept of evidence-based software engineering (EBSE) was introduced at the ICSE04 conference. Aims This study assesses the impact of systematic literature reviews (SLRs) which are the recommended EBSE method for aggregating …"
117,"VB Kampenes, T Dybå, JE Hannay…","A systematic review of quasi-experiments in software engineering",2009,"Information and Software …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584908000670","https://scholar.google.com/scholar?cites=17700825723359749554&as_sdt=2005&sciodt=0,5&hl=en",51,"2021-05-11 13:03:30","","","","",,,,,117,9.75,29,4,12,"Background: Experiments in which study units are assigned to experimental groups nonrandomly are called quasi-experiments. They allow investigations of cause–effect relations in settings in which randomization is inappropriate, impractical, or too costly …"
107,"J Bosch","Speed, data, and ecosystems: the future of software engineering",2015,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7368022/","https://scholar.google.com/scholar?cites=2499523971989687345&as_sdt=2005&sciodt=0,5&hl=en",52,"2021-05-11 13:03:30","","","","",,,,,107,17.83,107,1,6,"An evaluation of recent industrial and societal trends revealed three key factors driving software engineering's future: speed, data, and ecosystems. These factors' implications have led to guidelines for companies to evolve their software engineering practices. This article is …"
